Codigo,Norte,Este,pH,CE,TDS,Ca,K,Mg,Na,Cl,SO4,HCO3,CO3,Temporada,Subcuenca,Tipo_Fuente,Clase_Fuente,ratingcol,claseph,long,lat
1348119SW128,8296086,184981,8.13,145,71.56,10.08,0.61,1.574,7.19,0.548,9.578,49.9,NA,Estiaje,Molloco,Agua superficial,Quebrada,green,Aceptable,-71.934523,-15.39279242
1348119SW128,8278227,179504,7.96,128.8,63.6,6.4,0.6,1.3,5,0.3,7.3,27,NA,Avenida,Molloco,Agua superficial,Quebrada,green,Aceptable,-71.98780833,-15.55335363
1348119SW129,8278220,179530,7.71,103.2,51.06,5.66,0.91,0.772,5.29,0.402,9.631,23.8,NA,Estiaje,Molloco,Agua superficial,Quebrada,green,Aceptable,-71.9875671,-15.55342012
1348119SW129,8278896,179391,7.3,51.17,25.57,3.4,0.9,0.6,4.6,0.4,8.3,16,NA,Avenida,Molloco,Agua superficial,Quebrada,green,Aceptable,-71.98877353,-15.54729934
1348119SW130,8278926,179396,7.81,214.6,105.8,18.1,2.74,3.174,13.81,12.9,24.94,61.3,NA,Estiaje,Molloco,Agua superficial,Rio,green,Aceptable,-71.98872305,-15.54702912
1348119SW130,8278175,179060,7.67,117.3,57.95,11.3,1.8,2.4,6.2,3,17.4,32,NA,Avenida,Molloco,Agua superficial,Rio,green,Aceptable,-71.99195024,-15.55376697
1348119SW133,8278163,179066,8.14,206.4,101.5,19.34,2.67,3.224,14.05,12.72,29.74,63.1,NA,Estiaje,Molloco,Agua superficial,Rio,green,Aceptable,-71.99189592,-15.55387607
1348119SW133,8275072,177489,8.04,124.2,61.3,12.1,1.9,2.5,7,3.3,19,33,NA,Avenida,Molloco,Agua superficial,Rio,green,Aceptable,-72.00698878,-15.58158237
1349119GW121,8275062,177501,7.12,66.1,32.89,4.15,3.3,2.768,3.65,0.622,4.255,34.8,NA,Estiaje,Alto Camana,Agua subterranea,Manantial,green,Aceptable,-72.00687833,-15.58167418
1349119GW121,8289456,221441,6.82,67.42,33.69,3.1,2.1,2.5,3.4,0.3,5.3,23,NA,Avenida,Alto Camana,Agua subterranea,Manantial,green,Aceptable,-71.59589482,-15.45689275
1349119GW134,8289446,221431,8.4,3873,1898,50.61,89.6,4.303,660.1,982.6,340.9,34.8,24.9,Estiaje,Alto Camana,Agua subterranea,Geiser,green,Aceptable,-71.59598907,-15.45698197
1349119GW134,8273538,178306,7.6,4111,2010,41.7,80.5,1.8,614.9,850.9,341.5,53,1,Avenida,Alto Camana,Agua subterranea,Geiser,green,Aceptable,-71.99958006,-15.59553572
1349119GW138,8273614,178356,7.61,349.3,171.8,28.34,4.32,16.75,16.66,1.837,71.84,120.7,NA,Estiaje,Alto Camana,Agua subterranea,Galeria,green,Aceptable,-71.99910433,-15.59485593
1349119GW138,8269490,182249,7.04,336.7,165.5,26.9,4,17.9,16.7,1.4,65.9,101,NA,Avenida,Alto Camana,Agua subterranea,Galeria Filtrante,green,Aceptable,-71.96337521,-15.63258184
1349119GW141,8269496,182253,7.53,874.9,429.2,89.98,9.84,33.25,43.68,2.485,274.8,202.4,NA,Estiaje,Alto Camana,Agua subterranea,Termal,green,Aceptable,-71.96333717,-15.63252817
1349119GW141,8269663,203172,7.47,823.4,404,86.1,8.5,34.8,44.3,2.4,262.7,165,2,Avenida,Alto Camana,Agua subterranea,Manantial,green,Aceptable,-71.7683939,-15.63356838
1349119GW146,8269660,203179,7.19,202.4,99.7,13.74,2.62,7.993,17.56,13.23,7.741,89.9,NA,Estiaje,Alto Camana,Agua subterranea,Manantial,green,Aceptable,-71.76832904,-15.6335963
1349119GW146,8269131,201679,7.18,210.2,103.5,12.6,3,8.6,17.6,16,9.2,73,NA,Avenida,Alto Camana,Agua subterranea,Manantial,green,Aceptable,-71.78237167,-15.63819621
1349119GW149,8269093,201694,7.01,240,118.1,16.31,2.38,8.956,17.97,5.057,51.04,71,NA,Estiaje,Alto Camana,Agua subterranea,Manantial,green,Aceptable,-71.78223653,-15.63854113
1349119GW149,8267764,203432,7.06,253.1,124.5,15.4,2.2,9.3,18.4,4.6,45.5,54,NA,Avenida,Alto Camana,Agua subterranea,Manantial,green,Aceptable,-71.76620157,-15.65074715
1349119GW150,8267766,203433,6.8,541.8,265.9,49.41,2.7,20.69,30.02,12.87,142.8,119.5,NA,Estiaje,Alto Camana,Agua subterranea,Manantial,green,Aceptable,-71.766192,-15.65072921
1349119GW150,8267862,206175,7.19,607.3,298.1,48.2,2.6,21.4,30,13,146,98,NA,Avenida,Alto Camana,Agua subterranea,Manantial,green,Aceptable,-71.74062592,-15.65018356
1349119GW168,8267866,206176,7.4,1441,705.5,37.39,16.6,2.671,261.7,99.65,270.5,368.3,NA,Estiaje,Alto Camana,Agua subterranea,Termal,green,Aceptable,-71.74061612,-15.65014756
1349119GW168,8267404,213687,7,1395,682,37.8,15.7,2.8,259.1,94.6,259.4,294,7,Avenida,Alto Camana,Agua subterranea,Termal,green,Aceptable,-71.6706676,-15.65518452
1349119GW169,8267401,213687,7.47,5235,2566,80.33,71.12,7.235,935.4,1187,301.3,806.6,NA,Estiaje,Alto Camana,Agua subterranea,Termal,green,Aceptable,-71.67066795,-15.65521162
1349119GW169,8267657,213910,5.88,5092,2492,77.4,71.7,7.7,915.4,1018.4,225.2,632,5,Avenida,Alto Camana,Agua subterranea,Termal,red,Acido,-71.66855947,-15.65292506
1349119GW180,8267652,213909,7.03,1530,751.6,41.51,27.12,9.95,250.7,255.2,133.3,302.4,NA,Estiaje,Alto Camana,Agua subterranea,Manantial,green,Aceptable,-71.66856937,-15.6529701
1349119GW180,8269094,216123,6.02,1640,805,38.5,30.5,10,286.7,257.1,128.4,286,4,Avenida,Alto Camana,Agua subterranea,Termal,red,Acido,-71.64776614,-15.64019788
1349119GW186,8269031,216129,6.77,1388,680.6,153.4,2.26,47.49,15.37,1.17,726.2,10,NA,Estiaje,Alto Camana,Agua subterranea,Galeria,green,Aceptable,-71.64771754,-15.6407675
1349119GW186,8277642,195879,6.65,1439,705.7,182.3,2.3,47.1,14.3,1,731.7,16,NA,Avenida,Alto Camana,Agua subterranea,Galeria,green,Aceptable,-71.83536349,-15.56065243
1349119GW188,8277222,197991,7.3,900,441.5,138.1,2.17,22.92,9.95,1.434,387.3,73.4,NA,Estiaje,Alto Camana,Agua subterranea,Galeria,green,Aceptable,-71.81574178,-15.56469744
1349119GW188,8276499,195625,7.33,772.8,379.2,131.6,1.8,22.5,8.5,0.7,345.9,48,NA,Avenida,Alto Camana,Agua subterranea,Galeria,green,Aceptable,-71.83787111,-15.5709428
1349119GW197,8276529,195653,6.15,7188,3523,129.3,78.87,12.04,1231,1624,305.5,814.2,NA,Estiaje,Alto Camana,Agua subterranea,Termal,red,Acido,-71.83760656,-15.57067527
1349119GW197,8271981,222612,6.12,6813,3339,112.1,72.9,11.4,1262.2,1012.8,232.4,673,6,Avenida,Alto Camana,Agua subterranea,Termal,red,Acido,-71.58695958,-15.61484638
1349119GW208,8271981,222624,6.27,6898,3383,61,36.83,9.84,1436,1306,619.6,1424,NA,Estiaje,Alto Camana,Agua subterranea,Termal,red,Acido,-71.58684774,-15.6148477
