Codigo,pH,CE,TDS,Ca,K,Mg,Na,Cl,SO4,HCO3,CO3,Temporada,Subcuenca,Tipo_Fuente,Clase_Fuente,Codigo2,ratingcol,claseph
1349119SW116,5.41,169.2,83.4,6.51,3.72,0.887,11.43,0.432,60.11,5.4,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW116,red,Acido
1349119SW117,8.18,62.8,31.28,3.38,2.9,1.577,6.39,0.253,5.769,30,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW117,green,Aceptable
1349119SW118,7.62,95.8,47.44,5.16,3.7,1.891,8.15,0.426,11.84,35.1,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW118,green,Aceptable
1349119SW119,7.68,198.8,97.5,7.1,3.96,2.241,9.72,0.539,23.58,31.7,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW119,green,Aceptable
1349119SW120,6.97,85.8,42.33,5.14,2.85,2.267,6.26,0.307,15.25,28.6,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW120,green,Aceptable
1349119SW122,8.27,512.6,251.7,54.39,8.8,14.99,20.42,6.297,37.18,243.6,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW122,green,Aceptable
1349119SW123,8.32,164.3,80.97,11.68,3.9,4.663,9.88,0.946,24.19,63.2,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW123,green,Aceptable
1349119SW126,8.85,192.9,94.56,15.98,4.23,6.067,10.64,1.027,25.81,76.4,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW126,blue,Basico
1349119SW127,8.97,199.6,98.34,19.81,1.82,5.731,8.9,0.753,8.197,92.1,9.7,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW127,blue,Basico
1349119SW131,8.81,918.3,450.5,54.65,12.07,14.21,106.2,107.9,134.6,194.9,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW131,blue,Basico
1349119SW132,8.49,285.1,140.2,37.57,1.35,4.419,14.41,1.943,51.68,110.6,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW132,green,Aceptable
1349119SW136,8.55,988.5,485.1,55.36,12.7,14.94,103.6,113.9,131.7,183.5,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW136,blue,Basico
1349119SW137,8.05,1042,511.3,56.7,15.38,14.48,127.7,148.9,144.4,182.8,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW137,green,Aceptable
1349119SW139,5,665.1,326.3,92.97,2.16,16.35,8.89,3.107,307.1,5.1,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW139,red,Acido
1349119SW140,8.25,801.9,393.6,130.3,3.55,16.85,14.44,0.971,291.5,133,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW140,green,Aceptable
1349119SW142,7.76,277.3,136.4,19.76,3.93,4.16,16.46,0.71,76.88,41.2,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW142,green,Aceptable
1349119SW143,8.87,891.5,437.3,39.48,11,11.26,116.3,126,85.56,165.1,14.4,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW143,blue,Basico
1349119SW144,8.51,834.1,409.2,41.28,12.2,12.23,103,100.1,94.03,142,23,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW144,blue,Basico
1349119SW144A,7.81,1032,506.4,47.06,15.34,13.01,128.1,151.8,107.2,203.7,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW144A,green,Aceptable
1349119SW145,7.43,442.4,217.8,18.08,6.85,10.67,48.33,74.74,21.39,94.2,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW145,green,Aceptable
1349119SW147,8.67,910.2,445.7,38.32,11.5,9.313,126.2,135.9,78.32,178.3,13.2,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW147,blue,Basico
1349119SW152,8.6,205.7,101.3,16.88,4.23,5.998,10.44,1.017,25.43,79.2,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW152,blue,Basico
1349119SW153,8.48,471.9,232.4,18.63,4.68,4.185,63.37,88.69,22.44,70.4,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW153,green,Aceptable
1349119SW154,8.68,196.2,96.78,15.31,3.16,4.7,7.39,1.613,22.7,85.4,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW154,blue,Basico
1349119SW155,8.68,481.9,236.6,18.57,4.66,4.082,65.45,90.37,22.29,77.3,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW155,blue,Basico
1349119SW156,8.78,470.4,230.7,19.73,5.19,4.315,69.59,89.12,22.91,75.8,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW156,blue,Basico
1349119SW157,8.28,507.1,249.1,16.7,4.65,4.006,63.62,88.06,22.46,84.2,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW157,green,Aceptable
1349119SW158,8,608.8,298.8,54.02,5.55,21.09,33,30,155.3,119.7,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW158,green,Aceptable
1349119SW159,9.17,937.1,457.7,40.92,13.48,10.09,126.6,135.6,83.63,146.2,30.2,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW159,blue,Basico
1349119SW160,9.26,961,471.4,38.28,12.45,8.75,142.3,143.3,78.11,123.5,37.6,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW160,blue,Basico
1349119SW162,9.05,1062,521.1,42.83,15.15,9.766,158.4,167.7,83.14,149.3,31.5,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW162,blue,Basico
1349119SW163,8.09,419.9,206.3,26.41,9.42,8.307,34.54,29,63.98,101.9,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW163,green,Aceptable
1349119SW164,8.41,322.6,158.6,18.66,7.48,6.669,21.52,9.4,44.2,82.3,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW164,green,Aceptable
1349119SW165,8.46,260.6,128.2,22.49,3.21,6.663,15.24,0.854,48.17,96.5,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW165,green,Aceptable
1349119SW167,8.33,982.4,483.4,33.5,12.07,7.223,151.8,170.8,73.49,181.7,7.5,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW167,green,Aceptable
1349119SW170,7.96,79,39.29,5.81,4.11,2.124,5.13,0.814,6.064,40.7,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW170,green,Aceptable
1349119SW172,9,459.5,225.5,18.37,4.81,4.051,61.92,77.01,22.04,59.8,16.9,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW172,blue,Basico
1349119SW173,8.05,131.8,65.12,9.49,3.41,4.333,5.87,1.095,5.452,67,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW173,green,Aceptable
1349119SW174,9.2,490.1,241,18.17,5.05,4.572,60.08,78.3,22.4,65.7,19.3,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW174,blue,Basico
1349119SW175,8.45,1708,837.1,45.89,18.86,8.884,279.4,363.3,75.34,258.3,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW175,green,Aceptable
1349119SW176,9,493.4,242.3,20.19,4.8,4.946,59.05,69.68,21.21,391.6,46.8,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW176,blue,Basico
1349119SW177,8.47,239.1,117.6,17.7,2.59,5.304,8.99,3.395,20.97,93.7,7.3,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW177,green,Aceptable
1349119SW179,7.75,231.2,113.9,23.6,1.79,5.527,6.03,0.461,78.48,29.7,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW179,green,Aceptable
1349119SW181,7.15,487.8,239.6,69.69,0.79,7.759,5.9,0.396,197.7,29.3,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW181,green,Aceptable
1349119SW182,7.39,488.8,240,70.06,0.86,6.829,5.9,0.443,207.7,34.7,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW182,green,Aceptable
1349119SW183A,4.81,627.2,308.5,78.75,1.81,14.24,7.96,0.387,294.7,NA,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW183A,red,Acido
1349119SW184,8.22,276.3,135.9,31.78,1.14,3.516,5.75,0.715,52.84,80,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW184,green,Aceptable
1349119SW185,7.54,715.6,351.2,90.68,1.33,13.78,8.02,2.563,261.7,44.6,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW185,green,Aceptable
1349119SW187,4.3,804.1,394.2,79.99,1.97,15.18,8.27,0.413,308.9,NA,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW187,red,Acido
1349119SW189,7.98,183.8,90.56,8.93,4.45,3.095,5.16,0.496,8.621,55.6,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW189,green,Aceptable
1349119SW190,8.24,167.9,82.76,11.75,5.26,4.028,6.21,0.579,16.2,61.9,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW190,green,Aceptable
1349119SW191,5.09,1050,502.1,82.59,1.78,14.76,8.25,0.531,313.3,4.7,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW191,red,Acido
1349119SW193,8.79,255.7,125.8,18.47,5.03,4.744,21.86,26.01,15.19,81.5,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW193,blue,Basico
1349119SW194,9.11,306.6,150.7,25.5,4.7,4.357,22.93,18.09,38.88,80,14.1,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW194,blue,Basico
1349119SW195,9.14,736.9,361.6,28.37,8.65,6.705,105.5,129.2,43.17,137.9,10.7,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW195,blue,Basico
1349119SW196,8.65,980.1,480.7,31.27,11.01,6.674,138.8,174.8,54.73,173.3,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW196,blue,Basico
1349119SW198,8.19,672.2,320.1,29.57,12.2,7.173,82.08,73.52,70.91,143.5,NA,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW198,green,Aceptable
1349119SW206,7.65,86.03,42.66,2.71,2.61,1.132,2,0.588,2.854,21,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW206,green,Aceptable
1349119SW207,8.33,201.8,99.4,14.53,5.85,4.739,7.71,1.177,22.77,88.2,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,1349119SW207,green,Aceptable
1349119SW212,8.63,834.5,409.3,41.48,11.93,12.34,109.1,107.9,94.15,158.8,11.8,Estiaje,Alto Camana,Agua superficial,Rio,1349119SW212,blue,Basico
49999119GW024,6.88,5669,2778,114.5,39.62,14.62,1120,11.42,14.77,1158,NA,Estiaje,Hornillos Alto,Agua subterranea,Termal,49999119GW024,green,Aceptable
49999119GW088,6.52,5612,2750,295.5,28.37,19.14,904.6,0.778,48.39,813.5,NA,Estiaje,Hornillos Alto,Agua subterranea,Termal,49999119GW088,green,Aceptable
49999119GW199,7.44,92.56,45.75,5.61,2.54,1.744,4.36,12.11,17.19,37.9,NA,Estiaje,Hornillos Alto,Agua subterranea,Manantial,49999119GW199,green,Aceptable
49999119GW200,7.64,140.8,69.17,3.47,2.7,1.981,5.89,NA,NA,37.4,NA,Estiaje,Hornillos Alto,Agua subterranea,Manantial,49999119GW200,green,Aceptable
