Codigo,pH,CE,TDS,Ca,K,Mg,Na,Cl,SO4,HCO3,CO3,Temporada,Subcuenca,Tipo_Fuente,Clase_Fuente,Codigo2,ratingcol,claseph
49999119SW089,8.43,448.1,220,53.45,2.53,2.908,24.12,16.62,119.7,69.8,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW089,green,Aceptable
49999119SW091,7.89,495.8,246,59.37,2.73,3.033,28.71,20.93,129,78.1,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW091,green,Aceptable
49999119SW092,6.69,39.47,19.84,3.71,1.3,0.818,2.92,0.207,2.853,21.1,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW092,green,Aceptable
49999119SW093,6.71,46.86,23.48,4.36,1.93,0.724,1.99,0.199,5.272,18,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW093,green,Aceptable
49999119SW094,7.75,263.9,126.4,1.89,1.69,0.42,2.32,0.298,2.503,12.7,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW094,green,Aceptable
49999119SW095,7.13,68.8,34.54,9.54,1.71,1.077,2.05,0.163,10.81,30.9,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW095,green,Aceptable
49999119SW096,5.96,414.4,204.9,62.56,1.91,6.923,2.03,0.316,191.4,4,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW096,red,Acido
49999119SW097,5.65,485.9,238.6,53.66,3.92,13.09,5.77,1.521,206.1,1.4,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW097,red,Acido
49999119SW098,7.44,84.86,42.13,11.08,1.68,1.319,1.99,0.397,14.96,34.9,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW098,green,Aceptable
49999119SW099,9.38,418.9,205.8,61.05,5.32,6.68,4.71,1.609,170.1,36.8,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW099,blue,Basico
49999119SW100,7.47,471.8,231.8,74.97,2.74,7.479,4.35,2.746,171.4,76,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW100,green,Aceptable
49999119SW101,7.91,380.2,186.9,60.9,2.84,5.575,4.25,2.101,137.8,64.1,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW101,green,Aceptable
49999119SW102,7.92,398.6,195.8,64.23,2.94,5.579,4.2,2.174,134.6,63.1,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW102,green,Aceptable
49999119SW103,8.2,124.8,61.66,4.4,1.97,1.306,3.35,0.217,4.44,28.5,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW103,green,Aceptable
49999119SW104,7.42,198.6,97.97,15.16,2.79,2.62,3.81,0.34,43.17,17.1,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW104,green,Aceptable
49999119SW105,9.49,183.8,90.56,17.73,2.59,2.838,4.74,1.279,31.96,47,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW105,blue,Basico
49999119SW106,9.39,137.9,68.68,6.61,2.08,1.715,4.28,1.412,8.828,27.9,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW106,blue,Basico
49999119SW108,8.68,58.51,29.17,9.42,1.16,2.552,7.03,0.399,2.068,60.8,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW108,blue,Basico
49999119SW109,7.83,81.54,40.47,13.9,2.2,3.27,7.28,0.631,3.672,81.6,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW109,green,Aceptable
49999119SW110,8.33,151.7,74.84,17.15,3.18,2.865,22.88,20.49,25.08,79.9,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW110,green,Aceptable
49999119SW111,8.58,148.6,73.48,17.07,3.18,2.808,22.73,20.6,26.09,79.2,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW111,blue,Basico
49999119SW112,8.26,84.46,41.89,15.63,2.47,4.089,7.64,0.39,2.481,86.4,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW112,green,Aceptable
1348119SW001,7.17,99.86,49.45,5.8,2.7,1.8,4.3,0.3,3.6,33,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW001,green,Aceptable
1348119SW002,8.48,103.1,51.03,10.2,1.7,1.9,5.5,3.1,13,31,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW002,green,Aceptable
1348119SW003,7.35,490.6,249.9,70.7,0.9,6.9,5.5,0.3,179.1,27,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW003,green,Aceptable
1348119SW004,8.59,136.8,67.52,9.6,1.7,1.9,6.1,3.2,10.5,31,NA,Avenida,Molloco,Agua superficial,Rio,1348119SW004,blue,Basico
1348119SW005,8.55,111,55.07,9.7,1.8,1.9,6.4,3.3,10,31,NA,Avenida,Molloco,Agua superficial,Rio,1348119SW005,blue,Basico
1348119SW006,8.88,82.03,40.69,3.1,2.3,1,3.2,0.4,2.7,18,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW006,blue,Basico
1348119SW007,7.99,134.8,65.72,8.3,1.7,1.7,5.8,3.1,8.9,27,NA,Avenida,Molloco,Agua superficial,Rio,1348119SW007,green,Aceptable
1348119SW008,8.01,171.2,84.42,5.8,1.7,1.3,3.8,0.3,3.8,25,NA,Avenida,Molloco,Agua superficial,Rio,1348119SW008,green,Aceptable
1348119SW009,8.73,139.7,78.61,10.1,1.8,1.9,6.1,3.6,10.5,32,NA,Avenida,Molloco,Agua superficial,Rio,1348119SW009,blue,Basico
1348119SW011,7.35,169.4,83.48,24,1,3.3,3.7,NA,37.1,41,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW011,green,Aceptable
1348119SW012,4.44,440.2,216.2,46,1.6,8.6,8.1,0.6,196.2,NA,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW012,red,Acido
1348119SW013,8.73,45.04,22.26,1.9,1.5,0.6,3,NA,2.3,14,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW013,blue,Basico
1348119SW014,7.86,118.8,58.73,11.4,1,1.9,5.5,0.5,23.7,24,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW014,green,Aceptable
1348119SW015,7.66,279.8,137.7,23.7,1.4,3.6,5.5,0.5,55.2,31,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW015,green,Aceptable
1348119SW016,7.98,101.8,50.34,9.8,1.3,1.5,4.4,0.2,5.9,37,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW016,green,Aceptable
1348119SW017,6.96,79.71,39.64,1.3,1.2,0.3,2.1,0.3,1.4,9,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW017,green,Aceptable
1348119SW128,7.96,128.8,63.6,6.4,0.6,1.3,5,0.3,7.3,27,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW128,green,Aceptable
1348119SW129,7.3,51.17,25.57,3.4,0.9,0.6,4.6,0.4,8.3,16,NA,Avenida,Molloco,Agua superficial,Quebrada,1348119SW129,green,Aceptable
1348119SW130,7.67,117.3,57.95,11.3,1.8,2.4,6.2,3,17.4,32,NA,Avenida,Molloco,Agua superficial,Rio,1348119SW130,green,Aceptable
1348119SW133,8.04,124.2,61.3,12.1,1.9,2.5,7,3.3,19,33,NA,Avenida,Molloco,Agua superficial,Rio,1348119SW133,green,Aceptable
1349119GW121,6.82,67.42,33.69,3.1,2.1,2.5,3.4,0.3,5.3,23,NA,Avenida,Alto Camana,Agua subterranea,Manantial,1349119GW121,green,Aceptable
1349119GW134,7.6,4111,2010,41.7,80.5,1.8,614.9,850.9,341.5,53,1,Avenida,Alto Camana,Agua subterranea,Geiser,1349119GW134,green,Aceptable
1349119GW138,7.04,336.7,165.5,26.9,4,17.9,16.7,1.4,65.9,101,NA,Avenida,Alto Camana,Agua subterranea,Galeria Filtrante,1349119GW138,green,Aceptable
1349119GW141,7.47,823.4,404,86.1,8.5,34.8,44.3,2.4,262.7,165,2,Avenida,Alto Camana,Agua subterranea,Manantial,1349119GW141,green,Aceptable
1349119GW146,7.18,210.2,103.5,12.6,3,8.6,17.6,16,9.2,73,NA,Avenida,Alto Camana,Agua subterranea,Manantial,1349119GW146,green,Aceptable
1349119GW149,7.06,253.1,124.5,15.4,2.2,9.3,18.4,4.6,45.5,54,NA,Avenida,Alto Camana,Agua subterranea,Manantial,1349119GW149,green,Aceptable
1349119GW150,7.19,607.3,298.1,48.2,2.6,21.4,30,13,146,98,NA,Avenida,Alto Camana,Agua subterranea,Manantial,1349119GW150,green,Aceptable
1349119GW168,7,1395,682,37.8,15.7,2.8,259.1,94.6,259.4,294,7,Avenida,Alto Camana,Agua subterranea,Termal,1349119GW168,green,Aceptable
1349119GW169,5.88,5092,2492,77.4,71.7,7.7,915.4,1018.4,225.2,632,5,Avenida,Alto Camana,Agua subterranea,Termal,1349119GW169,red,Acido
1349119GW180,6.02,1640,805,38.5,30.5,10,286.7,257.1,128.4,286,4,Avenida,Alto Camana,Agua subterranea,Termal,1349119GW180,red,Acido
1349119GW186,6.65,1439,705.7,182.3,2.3,47.1,14.3,1,731.7,16,NA,Avenida,Alto Camana,Agua subterranea,Galeria,1349119GW186,green,Aceptable
1349119GW188,7.33,772.8,379.2,131.6,1.8,22.5,8.5,0.7,345.9,48,NA,Avenida,Alto Camana,Agua subterranea,Galeria,1349119GW188,green,Aceptable
1349119GW197,6.12,6813,3339,112.1,72.9,11.4,1262.2,1012.8,232.4,673,6,Avenida,Alto Camana,Agua subterranea,Termal,1349119GW197,red,Acido
1349119SW113,8.38,77.5,38.48,8.1,2.1,2,4.1,0.3,5.4,37,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW113,green,Aceptable
1349119SW116,5,82.46,40.86,3.8,2.1,0.6,5.8,NA,29.3,NA,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW116,red,Acido
1349119SW117,7.82,435.8,214.9,2.8,2.6,1.3,3.3,NA,4.7,19,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW117,green,Aceptable
1349119SW118,7.32,63.21,31.47,4.3,2.7,1.7,4.9,0.2,8.9,22,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW118,green,Aceptable
1349119SW119,7.22,98.5,48.77,4.2,2.6,1.5,5.2,0.3,13.6,19,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW119,green,Aceptable
1349119SW120,7.31,99.02,49.14,3.5,2.1,1.6,3.9,NA,7.5,18,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW120,green,Aceptable
1349119SW122,8.85,259.9,127.8,31.4,4.8,8.9,10.2,0.4,10.6,129,3,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW122,blue,Basico
1349119SW123,7.68,129,63.5,7.2,3,3.1,6.6,0.4,12.9,35,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW123,green,Aceptable
1349119SW124,8.57,147.6,72.83,16.8,1.7,5,6.5,0.4,9.5,70,1,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW124,blue,Basico
1349119SW126,8.38,124.7,61.62,9.4,3,3.6,6.8,0.4,12.8,50,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW126,green,Aceptable
1349119SW127,8.39,132.3,65.58,11.5,1.6,3.6,5.6,0.3,8.3,51,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW127,green,Aceptable
1349119SW131,7.76,439.8,216.1,25.3,4.9,6.8,47.3,54.2,48.5,77,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW131,green,Aceptable
1349119SW132,8.36,186.3,91.77,22.3,1.1,4,7.3,0.6,24.3,66,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW132,green,Aceptable
1349119SW136,8.32,447.9,220,26.5,5.2,7.1,50.5,56.5,50.7,79,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW136,green,Aceptable
1349119SW137,7.69,493.5,242.2,26.3,5.8,6.9,54.7,62.2,51.7,78,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW137,green,Aceptable
1349119SW139,5.73,480.5,236.2,61.2,1.4,11,6.5,0.3,200.8,3,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW139,red,Acido
1349119SW140,8.17,278.3,136.9,36.5,1.3,4.7,6.4,0.4,65.8,55,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW140,green,Aceptable
1349119SW142,7.71,182.3,89.91,12.6,3.6,3,12.5,0.4,40.2,31,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW142,green,Aceptable
1349119SW143,9.21,420,206.3,22.6,5.4,6.4,56.1,63.3,33,79,5,Avenida,Alto Camana,Agua superficial,Rio,1349119SW143,blue,Basico
1349119SW144,8.68,475.6,233.4,22.5,5.4,6.6,56.6,63.9,32.2,81,3,Avenida,Alto Camana,Agua superficial,Rio,1349119SW144,blue,Basico
1349119SW145,7.91,371.6,182.6,15.1,4.7,9.6,33.8,43.9,14.9,74,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW145,green,Aceptable
1349119SW147,9.21,461.3,226.7,21.7,5.6,6,57.1,65.9,32.7,76,6,Avenida,Alto Camana,Agua superficial,Rio,1349119SW147,blue,Basico
1349119SW152,8.47,144.1,71.23,14.3,2.7,4.3,6,0.4,12.5,58,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW152,green,Aceptable
1349119SW153,8.78,442.2,217.2,20.1,4.3,4.4,53.5,76,21.3,61,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW153,blue,Basico
1349119SW154,9.02,153.3,75.65,17.1,2.5,4.5,6.7,0.5,20.6,52,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW154,blue,Basico
1349119SW155,8.8,438.6,215.4,20.7,4.4,4.6,55.7,76.2,21.8,64,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW155,blue,Basico
1349119SW156,8.77,442.5,217.3,21.4,4.7,4.8,58.2,76,22.1,64,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW156,blue,Basico
1349119SW157,8.55,432.5,212.4,21.5,4.5,4.9,55,71.4,21.6,64,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW157,blue,Basico
1349119SW158,7.79,510.1,269.9,61.6,5.3,23.5,33.3,19.6,163.7,94,1,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW158,green,Aceptable
1349119SW159,8.95,513.7,252.2,29,7,7.1,70.6,77.9,44.9,93,2,Avenida,Alto Camana,Agua superficial,Rio,1349119SW159,blue,Basico
1349119SW160,8.9,537.9,264.1,28,7,6.4,77.2,89.5,40.7,91,2,Avenida,Alto Camana,Agua superficial,Rio,1349119SW160,blue,Basico
1349119SW162,9.37,498.6,244.8,28,7.5,6.6,74.2,84.1,37.3,83,6,Avenida,Alto Camana,Agua superficial,Rio,1349119SW162,blue,Basico
1349119SW163,8.42,293.1,144.1,22,8.5,9.1,24.5,11,45.7,80,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW163,green,Aceptable
1349119SW164,8.42,270,132.8,21.1,8,9,20.1,3.7,44.2,80,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW164,green,Aceptable
1349119SW165,7.8,172.2,85.2,15.9,2.8,5.4,9.9,0.4,28.1,51,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW165,green,Aceptable
1349119SW166,8.01,234.4,115.4,12.2,6.5,3.3,28.6,38.7,14.4,45,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW166,green,Aceptable
1349119SW167,8.51,555.6,273.1,25.4,6.9,5.8,76.8,88.9,38,95,2,Avenida,Alto Camana,Agua superficial,Rio,1349119SW167,blue,Basico
1349119SW170,7.13,55.92,27.94,4.1,2.6,1.6,3.6,0.2,3.4,24,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW170,green,Aceptable
1349119SW172,7.71,437.9,215.1,21.3,4.5,4.8,56.2,75.5,20,67,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW172,green,Aceptable
1349119SW173,7.49,116.9,57.76,12.3,2.6,4.4,5.3,0.6,6.2,55,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW173,green,Aceptable
1349119SW174,8.16,435.9,213.5,22.6,4.5,5.2,54.5,74.2,21.2,71,NA,Avenida,Alto Camana,Agua superficial,Rio,1349119SW174,green,Aceptable
1349119SW175,7.94,502,247.5,21.7,4.9,5,65.5,90.2,22.9,77,1,Avenida,Alto Camana,Agua superficial,Rio,1349119SW175,green,Aceptable
1349119SW176,8.04,421.5,207,22.2,4.5,5.3,53.5,71.2,20.1,69,1,Avenida,Alto Camana,Agua superficial,Rio,1349119SW176,green,Aceptable
1349119SW177,7.9,191.3,94.24,20.4,3.2,8.1,8.5,1.3,19,77,1,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW177,green,Aceptable
1349119SW178,8.4,285.8,140.6,33,6.6,8.2,13.8,1.5,38.8,101,2,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW178,green,Aceptable
1349119SW179,6.86,163.7,80.74,18,2.1,5,4.9,0.2,48.1,18,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW179,green,Aceptable
1349119SW181,7.65,402.2,197.6,69.9,0.7,7,4.9,0.3,157.3,29,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW181,green,Aceptable
1349119SW182,7.73,387.7,190.6,62,0.7,6.6,4.7,0.2,158.9,32,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW182,green,Aceptable
1349119SW183,7.82,62.5,31.07,7.4,1.2,1.2,2.4,0.3,6.9,24,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW183,green,Aceptable
1349119SW184,8.08,192.2,94.67,27.7,1.1,3,5.2,0.4,35.9,55,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW184,green,Aceptable
1349119SW185,7.65,457.9,224.8,73.3,0.9,9.3,5.3,0.3,181.7,26,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW185,green,Aceptable
1349119SW187,4.94,510.2,250.5,69.2,1.6,12.8,6.5,0.9,219.2,51,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW187,red,Acido
1349119SW189,7.89,117.8,58.21,8.5,3.8,3.4,4.4,0.5,22.4,24,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW189,green,Aceptable
1349119SW190,7.97,146.3,72.21,12.3,4.6,4.9,5.4,0.5,34.5,25,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW190,green,Aceptable
1349119SW191,5.45,472.2,231.7,79.5,1.4,12.4,6.4,0.3,208.6,3,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW191,red,Acido
1349119SW193,8.43,231.3,113.8,22.5,4.9,6.3,12.4,10,35.3,59,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW193,green,Aceptable
1349119SW194,8.4,114.7,56.71,11.3,4.5,2.6,7.7,1.2,13.5,41,NA,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW194,green,Aceptable
1349119SW195,8.35,555.9,272.9,26,5.5,6.3,72.9,88.9,27.8,87,1,Avenida,Alto Camana,Agua superficial,Rio,1349119SW195,green,Aceptable
1349119SW196,8.39,578.3,283.9,24.5,6,5.8,80,101.4,31.8,89,1,Avenida,Alto Camana,Agua superficial,Rio,1349119SW196,green,Aceptable
1349119SW198,8.03,563.5,276.2,29.1,10.4,7.8,63.7,60.1,66.4,111,2,Avenida,Alto Camana,Agua superficial,Quebrada,1349119SW198,green,Aceptable
49999119GW024,6.37,5636,2762,NA,NA,NA,NA,984.9,524.2,935,12,Avenida,Alto Camana,Agua subterranea,Valle,49999119GW024,red,Acido
49999119GW038,7.55,54.35,27.13,4.5,1.9,1.2,3.1,0.4,3.6,22,NA,Avenida,Hornillos Alto,Agua subterranea,Manantial,49999119GW038,green,Aceptable
49999119GW088,6.62,5671,2779,266.6,21.1,16.5,748,1176.4,443.7,504,2,Avenida,Hornillos Alto,Agua subterranea,Termal,49999119GW088,green,Aceptable
49999119SW018,7.25,145.6,73.18,2.2,3.3,1,2.9,0.2,1.5,18,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW018,green,Aceptable
49999119SW019,6.96,59.97,29.88,4.6,1.4,1.1,5.7,1.7,2.3,26,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW019,green,Aceptable
49999119SW021,7.65,101.2,50.26,7.9,1.9,1.4,7.8,4.3,1.8,36,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW021,green,Aceptable
49999119SW022,6.85,256.9,126.4,8.3,2.2,1.7,29.3,22.8,12.2,48,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW022,green,Aceptable
49999119SW023,7.94,260.5,127.1,33.3,2,3,11,2,2.4,114,1,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW023,green,Aceptable
49999119SW025,7.55,143.9,71,14.8,2,2,9.7,3,1.9,62,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW025,green,Aceptable
49999119SW026,7.73,149.5,73.81,15.2,1.9,2.2,6,2.4,20.5,34,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW026,green,Aceptable
49999119SW027,7.39,70.21,34.9,8.4,1.5,1.6,2.9,NA,7,27,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW027,green,Aceptable
49999119SW028,7.62,47.8,23.92,7.6,0.5,1.2,2.1,NA,8.1,21,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW028,green,Aceptable
49999119SW029,8.45,154.3,76.4,14.8,1.8,2.1,5.2,2.1,19,33,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW029,green,Aceptable
49999119SW031,7.81,53.74,26.83,4.3,0.8,0.5,5.7,NA,3.6,23,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW031,green,Aceptable
49999119SW032,7.72,150.3,74.44,16.2,2,2.3,5.1,1.1,28.2,32,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW032,green,Aceptable
49999119SW033,7.93,152.6,75.49,16.9,2,2.4,4,1,26.6,31,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW033,green,Aceptable
49999119SW036,7.73,293.5,147.8,21.3,1.5,1.6,32.9,38.7,29.2,53,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW036,green,Aceptable
49999119SW037,7.72,104.9,51.8,13.4,0.5,0.9,3.1,0.2,25,21,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW037,green,Aceptable
49999119SW039,7.47,135.2,66.9,3,2.7,1.3,4.1,0.4,2.5,24,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW039,green,Aceptable
49999119SW040,7.76,151.2,74.78,16.3,0.8,2.1,3.3,0.2,31.5,34,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW040,green,Aceptable
49999119SW041,7.49,46.3,23.19,3.6,1.9,1.6,2.8,0.3,2.6,22,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW041,green,Aceptable
49999119SW042,7.57,67.26,33.47,3.8,2.4,1.7,2.9,0.6,4,23,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW042,green,Aceptable
49999119SW043,7.72,49.83,24.91,3,2.3,1.4,3.5,0.3,3.2,24,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW043,green,Aceptable
49999119SW044,7.95,80.56,39.97,4.8,1.8,1.7,2.9,0.5,7.7,21,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW044,green,Aceptable
49999119SW045,8.16,97.11,48.03,9.7,2.4,2.1,3.8,0.5,16.7,29,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW045,green,Aceptable
49999119SW046,7.83,51.03,25.51,3,2.4,1.5,3.6,0.3,1.9,24,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW046,green,Aceptable
49999119SW047,9.49,100.9,49.94,8.7,2.9,3.1,5.1,0.8,14.2,34,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW047,blue,Basico
49999119SW048,8.16,89.94,44.57,9.4,2.2,2.1,3.8,0.5,15,29,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW048,green,Aceptable
49999119SW049,8.15,105.2,52.07,8.9,1.8,1.9,3.6,0.5,15.9,28,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW049,green,Aceptable
49999119SW051,7.39,88.49,43.86,9.9,1.2,3.3,2.1,0.3,9.6,36,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW051,green,Aceptable
49999119SW052,8.21,117.9,58.36,11.2,2.1,2.6,7.4,6.7,2.7,47,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW052,green,Aceptable
49999119SW053,7.26,71.15,35.36,6.8,1.6,1.9,3,0.3,7.3,27,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW053,green,Aceptable
49999119SW054,7.81,154.8,76.8,15.7,1.8,2.2,9.2,5.8,25.4,38,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW054,green,Aceptable
49999119SW055,7.96,101.7,49.95,8.6,2.1,2.1,6.8,2.5,10,35,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW055,green,Aceptable
49999119SW056,8.53,76.55,38.02,7.3,1.8,2.4,2.9,0.4,6.4,31,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW056,blue,Basico
49999119SW057,7.99,102.8,50.37,8.6,2.2,2.1,6.7,2.1,11,34,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW057,green,Aceptable
49999119SW058,7.57,77.91,39.29,8.9,1,2.1,3.9,0.2,2.4,40,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW058,green,Aceptable
49999119SW059,8.15,91.96,46.13,8.7,1.9,2.1,5.9,2.1,9.7,33,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW059,green,Aceptable
49999119SW061,9.35,79.83,39.62,6.2,2.2,2.2,6,0.5,3.7,35,3,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW061,blue,Basico
49999119SW062,7.69,61.45,30.61,4.7,2.1,1.9,3.7,0.4,5.9,26,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW062,green,Aceptable
49999119SW063,8.3,72.55,36.05,4.9,2.3,2,3.4,0.9,3.6,31,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW063,green,Aceptable
49999119SW064,7.61,52.09,26.04,3.9,2.2,1.5,3.3,0.3,2.9,24,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW064,green,Aceptable
49999119SW065,7.52,80.15,39.77,7.6,2.8,2.4,3.5,0.4,3.4,37,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW065,green,Aceptable
49999119SW066,8.36,78.06,38.75,7.2,1.9,2.4,3,0.4,7.8,31,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW066,green,Aceptable
49999119SW067,8.36,68.36,34,5.6,2.1,1.9,3.7,0.6,7.4,27,NA,Avenida,Hornillos Alto,Agua superficial,Quebrada,49999119SW067,green,Aceptable
49999119SW069,8.1,86.49,42.88,7.6,2,1.9,4.4,0.6,10.8,30,NA,Avenida,Hornillos Alto,Agua superficial,Rio,49999119SW069,green,Aceptable
