YYYYMMDD	dN	dE	dU	Sn	Se	Su
20201109	0.01374	0.09037	0.04481	0.00463	0.00577	0.02222
20201110	0.01536	0.08942	0.04309	0.00486	0.00611	0.02366
20201111	0.01578	0.08943	0.03743	0.00457	0.00576	0.02212
20201112	0.01528	0.08767	0.03974	0.00472	0.00595	0.02285
20201113	0.01256	0.08809	0.03186	0.00475	0.00575	0.02284
20201114	0.01275	0.08982	0.02790	0.00475	0.00588	0.02320
20201115	0.01423	0.08877	0.02695	0.00473	0.00565	0.02272
20201116	0.01238	0.08595	0.02441	0.00478	0.00581	0.02300
20201117	0.01479	0.08796	0.03112	0.00505	0.00602	0.02402
20201118	0.01588	0.08811	0.02477	0.00488	0.00566	0.02248
20201119	0.01381	0.08947	0.04038	0.00497	0.00579	0.02331
20201120	0.01354	0.08919	0.03728	0.00497	0.00574	0.02322
20201121	0.01504	0.08855	0.02805	0.00518	0.00609	0.02422
20201122	0.01233	0.08848	0.02326	0.00484	0.00553	0.02218
20201123	0.01428	0.08727	0.02471	0.00530	0.00614	0.02460
20201124	0.01441	0.08991	0.03830	0.00519	0.00590	0.02345
20201125	0.01153	0.09279	0.02988	0.00530	0.00600	0.02347
20201126	0.01257	0.08883	0.02890	0.00565	0.00641	0.02522
20201127	0.01288	0.08850	0.03361	0.00839	0.00967	0.03896
20201128	0.01213	0.09160	0.03386	0.00564	0.00840	0.02725
20201129	0.01280	0.08786	0.01599	0.00539	0.00631	0.02347
20201130	0.01592	0.08638	0.01810	0.00554	0.00642	0.02414
20201201	0.01203	0.08866	0.02777	0.00543	0.00627	0.02327
20201202	0.01256	0.09082	0.04782	0.00528	0.00614	0.02282
20201203	0.01495	0.09174	0.03050	0.00517	0.00607	0.02246
20201204	0.01608	0.08872	0.03322	0.00499	0.00586	0.02123
20201205	0.01415	0.09093	0.03596	0.00469	0.00530	0.01908
20201206	0.01356	0.08635	0.02351	0.00488	0.00554	0.01998
20201207	0.01260	0.08713	0.03475	0.00479	0.00544	0.01961
20201208	0.01609	0.09247	0.02403	0.00501	0.00569	0.02045
20201209	0.01781	0.08590	0.03194	0.00496	0.00580	0.02132
20201210	0.01492	0.08730	0.02812	0.00489	0.00562	0.02031
20201211	0.01469	0.08700	0.01362	0.00515	0.00573	0.02208
20201212	0.01779	0.09100	0.02490	0.00530	0.00607	0.02259
20201213	0.01334	0.09138	0.02879	0.00507	0.00554	0.02047
20201214	0.01529	0.08798	0.02995	0.00516	0.00559	0.02105
20201215	0.01695	0.08823	0.01665	0.00517	0.00571	0.02162
20201216	0.01417	0.08732	0.02279	0.00508	0.00554	0.02066
20201217	0.01990	0.08412	0.01825	0.00535	0.00578	0.02212
20201218	0.01550	0.08505	0.01970	0.00519	0.00563	0.02120
20201219	0.01781	0.09039	0.03554	0.00517	0.00563	0.02080
20201220	0.01586	0.08919	0.02868	0.00520	0.00558	0.02091
20201221	0.01492	0.08703	0.02426	0.00522	0.00548	0.02041
20201222	0.01452	0.08754	0.02900	0.00551	0.00562	0.02183
20201223	0.01533	0.09028	0.01723	0.00523	0.00544	0.02059
20201224	0.01852	0.08757	0.01321	0.00521	0.00564	0.02064
20201225	0.01550	0.08838	0.01951	0.00530	0.00538	0.02052
20201226	0.01643	0.09164	0.01922	0.00503	0.00533	0.01961
20201227	0.01628	0.08838	0.02699	0.00516	0.00571	0.02086
20201228	0.01851	0.09041	0.02388	0.00515	0.00552	0.02058
20201229	0.01681	0.08777	0.01453	0.00516	0.00549	0.02074
20201230	0.01731	0.09045	0.02711	0.00535	0.00565	0.02140
20201231	0.01459	0.08781	0.02165	0.00490	0.00524	0.01953
20210101	0.01762	0.08710	0.02902	0.00261	0.00334	0.01069
20210102	0.02038	0.08600	0.02073	0.00260	0.00332	0.01097
20210103	0.01752	0.08561	0.02050	0.00241	0.00341	0.01054
20210104	0.01777	0.08937	0.02430	0.00255	0.00330	0.01102
20210105	0.01950	0.08772	0.02658	0.00274	0.00329	0.01105
20210106	0.01643	0.08758	0.02353	0.00256	0.00331	0.01083
20210107	0.01692	0.08909	0.03656	0.00256	0.00320	0.01050
20210108	0.01584	0.08853	0.02412	0.00280	0.00321	0.01095
20210109	0.01797	0.08768	0.02461	0.00269	0.00320	0.01101
20210110	0.01626	0.08799	0.02892	0.00273	0.00335	0.01052
20210111	0.01681	0.08733	0.03258	0.00282	0.00333	0.01083
20210112	0.01790	0.08839	0.02892	0.00303	0.00448	0.01505
20210113	0.01569	0.08763	0.03167	0.00264	0.00322	0.01063
20210114	0.01636	0.08728	0.02757	0.00257	0.00312	0.01027
20210115	0.01746	0.08638	0.02052	0.00277	0.00340	0.01087
20210116	0.01684	0.08947	0.04035	0.00253	0.00323	0.01024
20210117	0.01923	0.08559	0.02716	0.00248	0.00313	0.01035
20210118	0.01803	0.08867	0.03332	0.00259	0.00312	0.01031
20210119	0.01864	0.08872	0.02627	0.00284	0.00344	0.01185
20210120	0.01847	0.08948	0.02825	0.00262	0.00348	0.01111
20210121	0.01677	0.08678	0.03025	0.00279	0.00320	0.01057
20210122	0.01767	0.08615	0.03144	0.00273	0.00301	0.01044
20210123	0.01697	0.08726	0.02754	0.00369	0.00325	0.01202
20210124	0.01699	0.08835	0.02494	0.00286	0.00302	0.01030
20210125	0.01651	0.08922	0.02824	0.00257	0.00312	0.01038
20210126	0.01656	0.08821	0.02481	0.00299	0.00375	0.01296
20210127	0.01691	0.08865	0.02410	0.00270	0.00344	0.01153
20210128	0.01702	0.08965	0.02808	0.00236	0.00332	0.01034
20210129	0.01751	0.08855	0.03339	0.00269	0.00375	0.01182
20210130	0.01853	0.08820	0.03350	0.00255	0.00365	0.01183
20210131	0.01780	0.09016	0.03531	0.00229	0.00300	0.00961
20210201	0.01781	0.08832	0.03325	0.00238	0.00309	0.00993
20210202	0.01761	0.08887	0.03402	0.00239	0.00310	0.00960
20210203	0.01900	0.08897	0.03584	0.00245	0.00316	0.00987
20210204	0.01892	0.08654	0.03382	0.00232	0.00306	0.00985
20210205	0.01918	0.08759	0.03227	0.00236	0.00300	0.00980
20210206	0.01825	0.08754	0.03752	0.00242	0.00310	0.01025
20210207	0.01754	0.09001	0.03977	0.00250	0.00327	0.01044
20210208	0.01783	0.08878	0.02714	0.00264	0.00332	0.01094
20210209	0.02001	0.08880	0.02180	0.00256	0.00320	0.01065
20210210	0.01756	0.09218	0.02084	0.00250	0.00321	0.01043
20210211	0.01937	0.08898	0.03254	0.00265	0.00353	0.01144
20210212	0.02198	0.08849	0.04039	0.00289	0.00325	0.01079
20210213	0.02096	0.08689	0.03986	0.00252	0.00331	0.01054
20210214	0.01943	0.08861	0.04428	0.00259	0.00341	0.01107
20210215	0.01881	0.08644	0.03732	0.00248	0.00312	0.01014
20210216	0.02216	0.09144	0.05219	0.00255	0.00319	0.01077
20210217	0.01967	0.08441	0.02995	0.00250	0.00320	0.01043
20210218	0.02120	0.08571	0.03351	0.00247	0.00327	0.01065
20210219	0.02128	0.08875	0.03333	0.00231	0.00289	0.00974
20210220	0.01894	0.08685	0.03369	0.00218	0.00268	0.00904
20210221	0.01886	0.08643	0.03289	0.00219	0.00277	0.00926
20210222	0.02092	0.08372	0.03219	0.00234	0.00298	0.00964
20210223	0.02064	0.08708	0.02861	0.00235	0.00305	0.00986
20210224	0.01942	0.08356	0.03408	0.00246	0.00305	0.01071
20210225	0.01813	0.08492	0.03484	0.00251	0.00324	0.01104
20210226	0.02321	0.08514	0.02708	0.00258	0.00333	0.01136
20210227	0.01977	0.08531	0.03256	0.00242	0.00309	0.01029
20210228	0.01847	0.08776	0.03435	0.00226	0.00321	0.00992
20210301	0.02091	0.08788	0.03654	0.00251	0.00322	0.01074
20210302	0.01881	0.08622	0.03005	0.00246	0.00317	0.01063
20210303	0.01975	0.08570	0.03917	0.00259	0.00337	0.01174
20210304	0.01991	0.08533	0.03322	0.00228	0.00296	0.00977
20210305	0.02146	0.08782	0.03344	0.00221	0.00289	0.00972
20210306	0.02180	0.08637	0.03080	0.00241	0.00310	0.01061
20210307	0.02182	0.08794	0.02884	0.00239	0.00308	0.01043
20210308	0.02153	0.08758	0.03893	0.00264	0.00332	0.01151
20210309	0.02110	0.08751	0.03063	0.00250	0.00315	0.01089
20210310	0.02335	0.08706	0.04133	0.00259	0.00322	0.01095
20210311	0.02082	0.08756	0.02990	0.00246	0.00309	0.01036
20210312	0.02168	0.08780	0.03637	0.00251	0.00312	0.01062
20210313	0.02229	0.08384	0.04277	0.00235	0.00310	0.01032
20210314	0.01958	0.08628	0.03027	0.00239	0.00299	0.00987
20210315	0.02133	0.08679	0.03672	0.00236	0.00302	0.00996
20210316	0.02291	0.08721	0.04253	0.00243	0.00314	0.01055
20210317	0.02116	0.08698	0.03936	0.00246	0.00315	0.00996
20210318	0.02334	0.08631	0.03723	0.00225	0.00296	0.00995
20210319	0.02264	0.08805	0.03548	0.00242	0.00289	0.00972
20210320	0.02207	0.08695	0.03383	0.00241	0.00297	0.00948
20210321	0.01977	0.08738	0.03205	0.00251	0.00304	0.00994
20210322	0.02144	0.08783	0.03860	0.00228	0.00290	0.00940
20210323	0.02101	0.08742	0.03657	0.00237	0.00294	0.00969
20210324	0.02124	0.08719	0.03908	0.00243	0.00325	0.01078
20210325	0.02057	0.08610	0.03656	0.00233	0.00311	0.01009
20210326	0.02243	0.08665	0.03348	0.00221	0.00298	0.00967
20210327	0.02062	0.08485	0.02613	0.00227	0.00281	0.00945
20210328	0.02159	0.08657	0.03459	0.00215	0.00282	0.00919
20210329	0.02429	0.08529	0.03325	0.00233	0.00304	0.01021
20210330	0.02215	0.08697	0.03281	0.00216	0.00279	0.00918
20210331	0.02510	0.08615	0.03369	0.00220	0.00274	0.00923
20210401	0.02453	0.08626	0.04662	0.00260	0.00344	0.01158
20210402	0.02243	0.08723	0.03904	0.00228	0.00283	0.00962
20210403	0.02197	0.08426	0.02992	0.00236	0.00284	0.00949
20210404	0.02216	0.08684	0.02891	0.00221	0.00274	0.00919
20210405	0.02529	0.08465	0.03165	0.00232	0.00284	0.00971
20210406	0.02107	0.08329	0.03806	0.00231	0.00287	0.00984
20210407	0.02405	0.08519	0.02893	0.00243	0.00303	0.01011
20210408	0.02251	0.08531	0.03371	0.00234	0.00295	0.00969
20210409	0.02218	0.08441	0.02855	0.00238	0.00300	0.00973
20210410	0.02381	0.08377	0.03012	0.00237	0.00291	0.00941
20210411	0.02291	0.08297	0.03928	0.00245	0.00288	0.00962
20210412	0.02189	0.08352	0.03451	0.00229	0.00290	0.00974
20210413	0.02507	0.08523	0.04053	0.00232	0.00285	0.00966
20210414	0.02573	0.08324	0.03188	0.00226	0.00287	0.00970
20210415	0.02159	0.08369	0.03797	0.00235	0.00291	0.00989
20210416	0.02600	0.08123	0.03545	0.00230	0.00296	0.00988
20210417	0.02435	0.08116	0.03456	0.00219	0.00278	0.00929
20210418	0.02398	0.07894	0.03741	0.00223	0.00283	0.00947
20210419	0.02404	0.08093	0.03032	0.00228	0.00326	0.01050
20210420	0.02409	0.07934	0.03281	0.00241	0.00295	0.00965
20210421	0.02426	0.07710	0.02747	0.00233	0.00295	0.00966
20210422	0.02459	0.07791	0.03169	0.00230	0.00294	0.01002
20210423	0.02498	0.08018	0.02600	0.00225	0.00276	0.00954
20210424	0.02382	0.07931	0.02970	0.00233	0.00292	0.00989
20210425	0.02613	0.07895	0.03233	0.00290	0.00281	0.01044
20210426	0.02457	0.07857	0.03336	0.00225	0.00280	0.00924
20210427	0.02511	0.07854	0.03389	0.00217	0.00271	0.00914
20210428	0.02563	0.07753	0.03423	0.00224	0.00276	0.00934
20210429	0.02542	0.07928	0.03744	0.00234	0.00278	0.00967
20210430	0.02659	0.07720	0.04265	0.00218	0.00264	0.00913
20210501	0.02635	0.07719	0.03215	0.00236	0.00271	0.00925
20210502	0.02576	0.07543	0.03565	0.00225	0.00274	0.00916
20210503	0.02438	0.07780	0.03613	0.00364	0.00466	0.01696
20210504	0.02643	0.07545	0.03297	0.00269	0.00312	0.01034
20210505	0.02588	0.07347	0.02657	0.00235	0.00288	0.00943
20210506	0.02737	0.07634	0.03024	0.00258	0.00303	0.01001
20210507	0.02843	0.07343	0.03254	0.00233	0.00284	0.00945
20210508	0.02521	0.07321	0.03263	0.00248	0.00293	0.00966
20210509	0.02609	0.07343	0.03098	0.00247	0.00291	0.00976
20210510	0.02692	0.07397	0.03202	0.00274	0.00328	0.01155
20210511	0.02673	0.07389	0.03072	0.00235	0.00284	0.00945
20210512	0.02716	0.07375	0.03191	0.00245	0.00298	0.00966
20210513	0.02847	0.07426	0.03069	0.00238	0.00276	0.00922
20210514	0.02874	0.07408	0.03643	0.00265	0.00292	0.00968
20210515	0.03118	0.06981	0.02648	0.00280	0.00328	0.01154
20210516	0.02824	0.07153	0.02781	0.00255	0.00287	0.00955
20210517	0.02869	0.07196	0.02843	0.00239	0.00283	0.00925
20210518	0.02735	0.07134	0.02921	0.00247	0.00283	0.00948
20210519	0.02806	0.07341	0.03049	0.00254	0.00275	0.00926
20210520	0.02928	0.07240	0.03089	0.00240	0.00285	0.00955
20210521	0.02757	0.07159	0.02753	0.00245	0.00310	0.00997
20210522	0.02906	0.07193	0.03007	0.00256	0.00277	0.00943
20210523	0.02895	0.07103	0.02993	0.00232	0.00273	0.00930
20210524	0.02934	0.07116	0.03029	0.00237	0.00284	0.00945
20210525	0.02930	0.07160	0.03775	0.00260	0.00321	0.01125
20210526	0.03072	0.07121	0.03496	0.00240	0.00285	0.00994
20210527	0.03042	0.07057	0.02961	0.00227	0.00286	0.00990
20210528	0.02860	0.07122	0.02700	0.00240	0.00286	0.00964
20210529	0.02851	0.07114	0.02427	0.00244	0.00275	0.00958
20210530	0.02863	0.07167	0.02623	0.00229	0.00283	0.00956
20210531	0.03076	0.06836	0.02342	0.00231	0.00270	0.00941
20210601	0.03071	0.06891	0.02940	0.00241	0.00271	0.00942
20210602	0.03127	0.06953	0.02459	0.00246	0.00275	0.00963
20210603	0.02976	0.06897	0.02938	0.00229	0.00271	0.00941
20210604	0.03093	0.06927	0.03731	0.00218	0.00269	0.00922
20210605	0.03091	0.07050	0.03391	0.00227	0.00275	0.00943
20210606	0.03070	0.06943	0.03632	0.00238	0.00271	0.00925
20210607	0.03002	0.06769	0.03061	0.00246	0.00275	0.00940
20210608	0.03069	0.06820	0.03388	0.00224	0.00270	0.00901
20210609	0.03023	0.06636	0.02810	0.00246	0.00286	0.00955
20210610	0.03001	0.06506	0.03117	0.00226	0.00267	0.00897
20210611	0.03097	0.06530	0.02676	0.00239	0.00275	0.00936
20210612	0.03171	0.06258	0.03010	0.00223	0.00268	0.00919
20210613	0.02960	0.06503	0.02923	0.00227	0.00279	0.00925
20210614	0.03150	0.06347	0.02870	0.00228	0.00269	0.00931
20210615	0.03159	0.06541	0.03149	0.00258	0.00286	0.00942
20210616	0.03166	0.06535	0.03559	0.00226	0.00266	0.00904
20210617	0.03179	0.06463	0.02995	0.00288	0.00338	0.01245
20210618	0.03088	0.06307	0.03174	0.00242	0.00268	0.00925
20210619	0.03145	0.06248	0.02768	0.00233	0.00266	0.00898
20210620	0.03245	0.06116	0.03356	0.00216	0.00255	0.00869
20210621	0.03374	0.06142	0.02891	0.00232	0.00280	0.00932
20210622	0.03277	0.06034	0.03399	0.00222	0.00259	0.00902
20210623	0.03242	0.06086	0.01967	0.00221	0.00265	0.00921
20210624	0.03253	0.06036	0.03558	0.00213	0.00256	0.00860
20210625	0.03338	0.05982	0.03497	0.00228	0.00266	0.00908
20210626	0.03249	0.06058	0.02512	0.00233	0.00274	0.00952
20210627	0.03253	0.06020	0.02957	0.00240	0.00274	0.00941
20210628	0.03319	0.05817	0.02510	0.00229	0.00264	0.00909
20210629	0.03526	0.05695	0.02750	0.00226	0.00259	0.00916
20210701	0.03291	0.05656	0.03051	0.00208	0.00253	0.00865
20210702	0.03342	0.05652	0.02636	0.00212	0.00252	0.00865
20210703	0.03317	0.05537	0.03042	0.00217	0.00256	0.00889
20210704	0.03360	0.05559	0.02713	0.00214	0.00249	0.00867
20210705	0.03442	0.05463	0.02964	0.00207	0.00248	0.00859
20210706	0.03451	0.05369	0.02586	0.00223	0.00255	0.00885
20210707	0.03416	0.05332	0.02507	0.00215	0.00253	0.00874
20210708	0.03452	0.05273	0.02469	0.00224	0.00254	0.00891
20210709	0.03502	0.05062	0.02915	0.00217	0.00256	0.00883
20210710	0.03433	0.04801	0.02814	0.00214	0.00258	0.00884
20210711	0.03553	0.04832	0.02729	0.00217	0.00259	0.00916
20210712	0.03468	0.04527	0.02553	0.00209	0.00273	0.00911
20210713	0.03535	0.04388	0.02273	0.00214	0.00273	0.00903
20210714	0.03647	0.04339	0.02435	0.00217	0.00274	0.00942
20210715	0.03598	0.04103	0.02507	0.00233	0.00283	0.00942
20210716	0.03420	0.03807	0.01425	0.00219	0.00258	0.00897
20210717	0.03569	0.03814	0.02470	0.00211	0.00255	0.00883
20210718	0.03538	0.03522	0.02393	0.00206	0.00248	0.00862
20210719	0.03591	0.03408	0.02285	0.00205	0.00246	0.00856
20210720	0.03604	0.03327	0.02107	0.00225	0.00261	0.00912
20210721	0.03667	0.03079	0.01996	0.00208	0.00271	0.00909
20210722	0.03572	0.03085	0.02050	0.00211	0.00268	0.00904
20210723	0.03616	0.03072	0.02145	0.00200	0.00268	0.00874
20210724	0.03626	0.02924	0.02292	0.00220	0.00307	0.01005
20210725	0.03690	0.02800	0.02141	0.00213	0.00286	0.00926
20210726	0.03732	0.02725	0.02044	0.00242	0.00315	0.01061
20210727	0.03831	0.02650	0.01974	0.00217	0.00268	0.00927
20210728	0.03805	0.02568	0.02231	0.00226	0.00277	0.00930
20210729	0.03790	0.02527	0.02154	0.00209	0.00264	0.00920
20210730	0.03975	0.02498	0.02043	0.00285	0.00344	0.01320
20210731	0.03871	0.02381	0.01569	0.00215	0.00273	0.00950
20210801	0.03735	0.02099	0.02213	0.00215	0.00273	0.00947
20210802	0.03893	0.01926	0.01784	0.00217	0.00277	0.00955
20210803	0.03840	0.01909	0.02072	0.00215	0.00278	0.00951
20210804	0.03797	0.01784	0.01415	0.00219	0.00292	0.00967
20210805	0.03929	0.01518	0.01006	0.00218	0.00278	0.00942
20210806	0.03940	0.01403	0.01820	0.00226	0.00310	0.01033
20210807	0.03916	0.01355	0.01464	0.00208	0.00287	0.00931
20210808	0.03993	0.01145	0.01486	0.00208	0.00279	0.00927
20210809	0.03984	0.01074	0.01666	0.00202	0.00265	0.00879
20210810	0.04081	0.00906	0.01683	0.00200	0.00274	0.00903
20210811	0.03957	0.00735	0.01588	0.00208	0.00268	0.00927
20210812	0.04086	0.00590	0.01226	0.00213	0.00269	0.00936
20210813	0.04188	0.00648	0.01645	0.00207	0.00279	0.00949
20210814	0.04053	0.00505	0.01245	0.00202	0.00270	0.00917
20210815	0.04214	0.00397	0.00814	0.00221	0.00281	0.00986
20210816	0.04189	0.00349	0.01795	0.00234	0.00273	0.00947
20210817	0.04200	0.00116	0.01407	0.00210	0.00281	0.00950
20210818	0.04138	0.00025	0.01431	0.00217	0.00298	0.00971
20210819	0.04193	-0.00219	0.01206	0.00256	0.00331	0.01087
20210820	0.04180	-0.00399	0.01510	0.00205	0.00276	0.00919
20210821	0.04257	-0.00467	0.00972	0.00211	0.00270	0.00913
20210823	0.04325	-0.00711	0.01065	0.00235	0.00308	0.01039
20210824	0.04313	-0.00963	0.00450	0.00214	0.00274	0.00950
20210825	0.04146	-0.01012	0.00438	0.00214	0.00291	0.00969
20210826	0.04283	-0.01026	0.00196	0.00243	0.00333	0.01105
20210827	0.04370	-0.01325	0.00616	0.00215	0.00297	0.00975
20210828	0.04258	-0.01189	-0.00056	0.00235	0.00320	0.01088
20210829	0.04331	-0.01100	0.00109	0.00268	0.00365	0.01202
20210830	0.04498	-0.01263	0.00728	0.00255	0.00344	0.01118
20210831	0.04427	-0.01281	0.01229	0.00218	0.00295	0.00970
20210901	0.04424	-0.01475	0.00596	0.00238	0.00326	0.01073
20210902	0.04498	-0.01478	0.00916	0.00222	0.00303	0.00988
20210903	0.04492	-0.01592	0.00658	0.00205	0.00281	0.00928
20210904	0.04476	-0.01576	0.00938	0.00224	0.00308	0.01026
20210905	0.04542	-0.01789	0.00609	0.00249	0.00331	0.01091
20210906	0.04621	-0.01825	0.00534	0.00215	0.00292	0.00968
20210907	0.04486	-0.01988	0.00310	0.00239	0.00328	0.01085
20210908	0.04500	-0.02126	0.00489	0.00254	0.00334	0.01157
20210909	0.04505	-0.02203	-0.00051	0.00221	0.00300	0.00975
20210910	0.04635	-0.02223	-0.00047	0.00224	0.00286	0.00981
20210911	0.04613	-0.02230	0.00805	0.00218	0.00278	0.00943
20210912	0.04681	-0.02347	0.00315	0.00225	0.00314	0.01012
20210914	0.04752	-0.02714	-0.00163	0.00212	0.00289	0.00967
20210915	0.04740	-0.02842	0.00381	0.00234	0.00293	0.00978
20210916	0.04640	-0.02863	0.01022	0.00222	0.00298	0.00994
20210917	0.04725	-0.02802	0.00575	0.00306	0.00333	0.01163
20210918	0.04559	-0.03197	0.00170	0.00238	0.00320	0.01076
20210919	0.04760	-0.03354	-0.00092	0.00221	0.00281	0.00964
20210920	0.04700	-0.03673	0.00168	0.00240	0.00321	0.01073
20210921	0.04832	-0.03742	-0.00010	0.00225	0.00284	0.00975
20210922	0.04975	-0.03719	-0.00635	0.00231	0.00293	0.00984
20210923	0.04940	-0.03790	0.00238	0.00224	0.00284	0.00962
20210924	0.04817	-0.03954	0.00395	0.00236	0.00322	0.01043
20210925	0.05031	-0.03640	0.00087	0.00227	0.00280	0.00994
20210926	0.05037	-0.03920	0.00044	0.00243	0.00321	0.01083
20210927	0.04964	-0.03833	0.00181	0.00218	0.00288	0.00943
20210928	0.04805	-0.03970	-0.00215	0.00252	0.00345	0.01099
20210929	0.04813	-0.04074	-0.00246	0.00224	0.00296	0.00971
20210930	0.04800	-0.04076	0.00545	0.00226	0.00312	0.01027
20211002	0.05007	-0.04088	0.00605	0.00226	0.00314	0.01027
20211003	0.04835	-0.04048	-0.00423	0.00239	0.00334	0.01083
20211004	0.04801	-0.04085	0.00037	0.00226	0.00284	0.00978
20211005	0.04877	-0.04135	0.00443	0.00246	0.00334	0.01084
20211006	0.04938	-0.04145	-0.00687	0.00221	0.00278	0.00933
20211007	0.05007	-0.04175	-0.00698	0.00239	0.00322	0.01057
20211008	0.04966	-0.04145	0.00227	0.00215	0.00279	0.00945
20211009	0.06030	-0.03608	-0.00061	0.00227	0.00286	0.00981
20211010	0.06235	-0.04393	-0.00510	0.00227	0.00304	0.01024
20211011	0.05811	-0.09293	0.00933	0.00238	0.00326	0.01072
20211012	0.05382	-0.19393	-0.00945	0.00269	0.00376	0.01231
20211013	0.04980	-0.28836	-0.01656	0.00256	0.00352	0.01171
20211014	0.04665	-0.36774	-0.03617	0.00250	0.00318	0.01118
20211015	0.04488	-0.42991	-0.04155	0.00232	0.00300	0.01031
20211016	0.04418	-0.48689	-0.06016	0.00254	0.00306	0.01095
20211017	0.04195	-0.53472	-0.06345	0.00238	0.00326	0.01098
20211018	0.03810	-0.57663	-0.07084	0.00220	0.00286	0.00964
20211019	0.03557	-0.61401	-0.07392	0.00252	0.00318	0.01164
20211020	0.03346	-0.64882	-0.08235	0.00227	0.00290	0.00980
20211021	0.03154	-0.68013	-0.08605	0.00220	0.00272	0.00940
20211022	0.03100	-0.70805	-0.09445	0.00228	0.00282	0.00957
20211023	0.02994	-0.73322	-0.10065	0.00225	0.00308	0.00974
20211024	0.02966	-0.75649	-0.11134	0.00238	0.00326	0.01067
20211025	0.02772	-0.77868	-0.11153	0.00251	0.00346	0.01124
20211026	0.02690	-0.79759	-0.11333	0.00226	0.00277	0.00963
20211027	0.02776	-0.81591	-0.11566	0.00234	0.00288	0.00985
20211028	0.02336	-0.83016	-0.11771	0.00235	0.00296	0.01017
20211029	0.02361	-0.84673	-0.11956	0.00257	0.00320	0.01120
20211030	0.02282	-0.85929	-0.11593	0.00252	0.00343	0.01121
20211031	0.02390	-0.87275	-0.12172	0.00247	0.00307	0.01015
20211101	0.02269	-0.88451	-0.12336	0.00237	0.00324	0.01060
20211102	0.02262	-0.89394	-0.12193	0.00242	0.00308	0.01037
20211103	0.02034	-0.90383	-0.13746	0.00345	0.00432	0.01771
20211104	0.02222	-0.91442	-0.12391	0.00226	0.00307	0.00989
20211105	0.02268	-0.92326	-0.12638	0.00247	0.00335	0.01093
20211106	0.02232	-0.93018	-0.13312	0.00246	0.00305	0.01012
20211107	0.02205	-0.93526	-0.13108	0.00278	0.00371	0.01259
20211108	0.02032	-0.94261	-0.13392	0.00259	0.00343	0.01061
20211109	0.02139	-0.94828	-0.13371	0.00244	0.00339	0.01084
20211110	0.02088	-0.94857	-0.13131	0.00241	0.00298	0.00994
20211111	0.02124	-0.95077	-0.13391	0.00232	0.00306	0.00996
20211112	0.02044	-0.95168	-0.13320	0.00226	0.00311	0.00974
20211113	0.02174	-0.95314	-0.13926	0.00229	0.00285	0.00964
20211114	0.02139	-0.95155	-0.13323	0.00247	0.00349	0.01042
20211115	0.02034	-0.95042	-0.13157	0.00242	0.00346	0.01097
20211116	0.02177	-0.95120	-0.13402	0.00223	0.00296	0.00971
20211117	0.02221	-0.95102	-0.13441	0.00224	0.00289	0.00963
20211118	0.02236	-0.95059	-0.13420	0.00237	0.00333	0.01051
20211119	0.02325	-0.95106	-0.13320	0.00212	0.00281	0.00929
20211120	0.02162	-0.95056	-0.12857	0.00232	0.00329	0.01076
20211121	0.02154	-0.95219	-0.13373	0.00249	0.00361	0.01138
20211122	0.02215	-0.95281	-0.13170	0.00241	0.00333	0.01106
20211123	0.02090	-0.95257	-0.13149	0.00251	0.00358	0.01147
20211124	0.02165	-0.95186	-0.13544	0.00274	0.00332	0.01172
20211126	0.02239	-0.95023	-0.13520	0.00244	0.00294	0.00976
20211127	0.02308	-0.95263	-0.13604	0.00237	0.00290	0.00985
20211128	0.02221	-0.95207	-0.13400	0.00244	0.00312	0.00995
20211129	0.02523	-0.95163	-0.14191	0.00264	0.00330	0.01060
20211130	0.02380	-0.95189	-0.13664	0.00261	0.00351	0.01117
20211201	0.02318	-0.95202	-0.13881	0.00272	0.00306	0.01086
20211202	0.02315	-0.95075	-0.13426	0.00233	0.00296	0.00973
20211203	0.02497	-0.95138	-0.13253	0.00243	0.00321	0.01020
20211204	0.02221	-0.95093	-0.12906	0.00232	0.00299	0.00986
20211205	0.02380	-0.95192	-0.13626	0.00238	0.00311	0.01000
20211206	0.02244	-0.95162	-0.13578	0.00243	0.00295	0.00985
20211207	0.02427	-0.95238	-0.13682	0.00233	0.00298	0.00975
20211208	0.02338	-0.95369	-0.13471	0.00247	0.00301	0.01002
20211209	0.02305	-0.95159	-0.12924	0.00247	0.00309	0.01012
20211210	0.02604	-0.95079	-0.13299	0.00222	0.00301	0.00973
20211211	0.02315	-0.95275	-0.13920	0.00239	0.00311	0.01044
20211212	0.01982	-0.95531	-0.16058	0.00251	0.00339	0.01148
20211213	0.02415	-0.95425	-0.13724	0.00237	0.00315	0.01034
20211214	0.02439	-0.95241	-0.13355	0.00237	0.00303	0.01038
20211215	0.02385	-0.95231	-0.12953	0.00239	0.00315	0.01031
20211216	0.02434	-0.95174	-0.13615	0.00229	0.00295	0.00988
20211217	0.02516	-0.95234	-0.13728	0.00297	0.00290	0.00994
20211218	0.02358	-0.95421	-0.13411	0.00221	0.00293	0.00981
20211219	0.02547	-0.95169	-0.13369	0.00226	0.00308	0.00988
20211220	0.02452	-0.95317	-0.13362	0.00218	0.00287	0.00957
20211221	0.02366	-0.95405	-0.13339	0.00475	0.00378	0.01409
20211222	0.02449	-0.95186	-0.12984	0.00306	0.00318	0.01072
