Este [X];Norte [Y];Cota [Z];Ley de Cobre [%];Ley de Oro [ppm];Tipo de roca
131.6;232.4;61.9;0.74;1.946;2
213.5;231.1;123.4;0.74;1.377;2
111.4;406.2;72.2;0.74;0.131;2
188.1;230.7;98;0.74;0.375;2
220;308;104;0.74;1.124;2
160;368;24;0.74;0.418;2
160;368;60;0.74;0.14;2
155.5;278.9;48;0.74;0.236;2
100.4;218;84;0.74;2.205;2
130.2;262.5;60.1;0.74;0.498;2
308;152.4;89.7;0.74;9.105;2
94;408.2;108;0.74;0.387;2
321.7;152.7;70;0.75;1.466;2
91.4;239.6;93.4;0.75;0.188;2
130.4;233;35;0.75;0.025;2
133.5;353.4;16.8;0.75;0.062;2
222;231.3;131.9;0.75;0.493;2
190.5;292.8;36.1;0.75;0.315;2
248;234.3;62.2;0.75;0.041;2
160.4;503;132.1;0.75;2.061;2
155;338;36;0.75;0;2
155.5;278.9;36;0.75;0.07;2
160.5;82.9;84.2;0.75;5.823;2
100.3;253.2;72.3;0.75;1.99;2
100.3;253.2;84.3;0.75;3.001;2
251.2;324.1;36;0.75;1.564;2
130.4;442.9;48.1;0.75;0.614;2
134.1;40.7;72.6;0.75;2.058;2
70.4;233;72.5;0.75;0.397;2
112.1;592.3;125.5;0.76;2.596;2
67.2;22.7;86.9;0.76;3.096;2
177.2;353.2;60.9;0.76;0.318;2
238.2;230.2;17.6;0.76;0.058;2
275.3;338.3;36;0.76;12.628;2
100.2;128.1;72.2;0.76;0.085;2
250.2;263.2;84;0.76;0.356;2
130.2;262.5;72.1;0.76;4.407;2
70.7;37.8;107.9;0.76;0.226;2
92.3;113.6;37.2;0.76;0.436;2
103.6;231.9;87.1;0.77;0.746;2
79.1;22.1;66.1;0.77;0.529;2
189.9;29.5;73.4;0.77;0.297;2
209.8;593.6;46.5;0.77;1.642;2
205.7;233;50.9;0.77;7.049;2
59.1;472.4;56.2;0.77;0.149;2
86.6;408.1;100.6;0.77;0.418;2
155.5;278.9;24;0.77;0;2
100.4;308;132.1;0.77;0.013;2
100.4;293;23.9;0.77;0.068;2
100.3;253.2;60.3;0.77;1.542;2
100;188;36;0.77;0.506;2
129.9;263;84;0.77;0.547;2
129.9;263.4;84;0.77;1.504;2
130.4;293.1;71.8;0.77;0.17;2
134.1;40.7;84.6;0.77;0.24;2
70.4;23;132;0.77;0.048;2
160.4;308;59.3;0.77;1.416;2
220.7;352.5;133.2;0.77;0.136;2
70.5;563;121;0.77;0.664;2
77.7;591.9;92.1;0.77;0.12;2
131.4;533.7;133;0.77;2.982;2
228;128;13.1;0.78;6.425;2
194.1;592.9;118.9;0.78;0.796;2
88.4;289.9;81.2;0.78;0.995;2
330.5;52.9;120.6;0.78;8.277;2
273.3;308.7;12;0.78;1.13;2
220.4;278;72;0.78;0.519;2
220;248;15;0.78;3.481;2
157.3;523.2;107.8;0.78;0.738;2
160;188;36;0.78;0.511;2
311.1;233.1;84;0.78;4.99;2
250.4;113;96;0.78;0.386;2
256;259.3;80.5;0.78;0.761;2
70.5;563;114.5;0.78;0.022;2
183.6;596.2;113.6;0.78;0.553;2
121.7;273;10.3;0.78;0.192;2
64.8;472.7;64.5;0.79;0.323;2
273.4;368.4;108;0.79;0.103;2
220.3;158.1;84.5;0.79;2.233;2
228;128;97.1;0.79;0.981;2
190.4;323;120;0.79;1.938;2
189.7;262.8;48;0.79;2.235;2
190.4;233;72;0.79;0.053;2
130.4;563;95.8;0.79;1.15;2
130.5;323;96;0.79;1.196;2
70.7;37.8;119.9;0.79;0.706;2
188;595.8;102.4;0.79;1.07;2
324.9;52.9;85;0.79;3.253;2
150.2;292.9;14.7;0.79;0.082;2
99.8;431.2;119.5;0.8;0.919;2
314.8;152.6;79.8;0.8;3.272;2
111;408.7;125;0.8;0.14;2
101.3;35.7;96.8;0.8;2.847;2
79.9;289.8;72.7;0.8;0.659;2
95.1;231.9;78.6;0.8;0.509;2
171.1;230.5;81;0.8;0.509;2
129.6;174.2;14.3;0.8;0.451;2
322.9;52.9;73.2;0.8;11.572;2
108.9;406;79.5;0.8;0.02;2
160.4;203;60;0.8;2.586;2
190.4;353;59.6;0.8;1.094;2
130.4;442.9;60.1;0.8;3.117;2
130.2;262.5;84.1;0.8;1.394;2
121.7;273;46.3;0.8;0.389;2
69.7;228.4;66.9;0.8;0.423;2
256;259.3;89.5;0.81;1.376;2
167.5;531.6;135;0.81;1.665;2
277.3;308.5;129.8;0.81;1.493;2
195.6;112.8;62.4;0.81;2.438;2
76.7;381.6;14.1;0.81;0.165;2
280.5;337.5;95.5;0.81;1.797;2
273.3;308.7;24;0.81;2.144;2
219.5;219.3;72.9;0.81;8.583;2
160;188;60;0.81;1.658;2
100.8;82.9;95.8;0.81;2.485;2
250.2;292.9;84;0.81;1.723;2
238.7;175.7;48;0.81;0.459;2
190.4;233;60;0.81;0.709;2
190.6;143.6;48;0.81;5.697;2
190.6;143.6;72;0.81;0.548;2
101;113.2;72.1;0.81;1.273;2
99.3;158.5;70.3;0.81;0.095;2
91.1;532.2;36.6;0.81;0.548;2
139.9;232;39.3;0.81;0.036;2
203.7;352.5;116.3;0.81;2.129;2
73.1;22.3;76.5;0.81;0.169;2
345.3;157.8;95.3;0.82;0.663;2
179.6;230.6;89.5;0.82;0.122;2
220.2;230.3;33.5;0.82;0.276;2
220.7;127.6;60.3;0.82;4.398;2
205.7;97.9;36.3;0.82;6.974;2
100.4;203;72;0.82;0.306;2
310.6;293.4;96;0.82;1.194;2
310.7;173.4;96;0.82;4.615;2
250.2;263.2;72;0.82;0.071;2
129.9;263;60;0.82;7.386;2
129.9;263.4;60;0.82;5.102;2
70.4;503;120;0.82;0.322;2
70.4;83;72;0.82;1.755;2
121.7;413.5;56.1;0.82;0.287;2
91;530.3;58.7;0.82;1.068;2
130.4;233;47;0.82;0.025;2
193;528.6;120;0.83;2.78;2
277.3;308.5;105.8;0.83;0.969;2
220.4;278;48;0.83;0.093;2
160.4;368;59.5;0.83;0.273;2
100;308;24;0.83;0.19;2
100.3;8.3;84.4;0.83;0.5;2
310.6;293.4;108;0.83;9.357;2
250.2;292.9;72;0.83;0.342;2
190.4;503;119.8;0.83;4.085;2
129.7;26.4;108;0.83;2.912;2
220;248;75;0.84;3.762;2
345.3;157.8;107.3;0.84;3.421;2
142;531.2;109.5;0.84;3.485;2
220.3;158.2;24.2;0.84;1.893;2
280.4;218;119.7;0.84;4.935;2
155.5;278.9;72;0.84;0.217;2
167;218;12;0.84;1.084;2
99.8;397;84.3;0.84;0.594;2
311.1;233.1;48;0.84;0.761;2
250.1;353;132;0.84;0.235;2
250.7;593.4;96;0.84;0.075;2
70.4;293;84;0.84;1.194;2
133.2;51.9;100.3;0.84;2.388;2
220.4;338;35.1;0.84;0.706;2
218.3;188.2;47;0.85;1.235;2
121.7;273;22.3;0.85;0.028;2
220.3;158.2;60.2;0.85;1.962;2
281.8;234;96.3;0.85;18.273;2
160.4;338;96;0.85;1.013;2
160;188;84;0.85;13.03;2
189.7;262.8;24;0.85;0.206;2
190.4;233;108;0.85;0.449;2
190.4;233;24;0.85;1.091;2
130.5;323;108;0.85;0.37;2
130.4;442.9;36.1;0.85;2.198;2
130.4;353;107.6;0.85;1.11;2
273.3;297.4;15.7;0.85;3.005;2
136.4;532.4;18;0.85;2.274;2
220.4;338;107.1;0.85;3.567;2
190.4;353;107.1;0.85;1.89;2
95;117.9;12.9;0.86;0.369;2
250.5;203.1;96.8;0.86;0.849;2
190.4;353;71.1;0.86;5.287;2
178.3;352.4;90.8;0.86;0.45;2
196.5;230.9;106.4;0.86;0.45;2
267.7;168.6;48.3;0.86;0.366;2
280.5;337.5;119.5;0.86;1.198;2
273.3;308.7;60;0.86;0.332;2
273.3;308.7;108;0.86;0.503;2
220.4;278;36;0.86;0.23;2
160.4;248;59.3;0.86;2.317;2
167;218;84;0.86;1.236;2
100.3;253.2;96.3;0.86;0.221;2
251.2;324.1;132;0.86;1.567;2
82.9;530.2;50.5;0.87;0.65;2
67.5;347.3;9.5;0.87;0.449;2
85.9;111.4;17.5;0.87;2.064;2
121.7;273;34.3;0.87;0.024;2
161.3;352.4;73.8;0.87;0.237;2
95.2;113.5;48.9;0.87;0.207;2
310.7;173.4;108;0.87;4.947;2
250.1;353;60;0.87;1.092;2
190.4;353;108;0.87;3.519;2
190.6;143.6;120;0.87;1.862;2
190.3;383.1;95.6;0.87;0.312;2
91.8;532.6;60.6;0.87;1.186;2
170.9;116.4;89.6;0.87;3.101;2
218.3;188.2;23;0.87;7.64;2
144.3;352.4;56.9;0.88;0.115;2
263.3;168.4;37.1;0.88;2.556;2
277.3;308.5;94.8;0.88;0.984;2
219.5;219.3;96.9;0.88;3.998;2
220.4;128.1;132;0.88;10.717;2
218.7;78.2;132;0.88;0.169;2
159.2;368;48.2;0.88;0.136;2
311.1;233.1;108;0.88;17.117;2
311.1;233.1;120;0.88;14.673;2
370.4;233;72;0.88;29.967;2
252.2;232.2;72;0.88;0.133;2
238.7;175.7;72;0.88;1.1;2
256.9;150.8;131.7;0.88;0.494;2
218.3;188.2;71;0.88;6.145;2
290.3;234;104.8;0.88;4.25;2
190.5;292.8;24.1;0.89;0.344;2
160.5;82.9;48.2;0.89;0.122;2
100.4;218;132;0.89;0.068;2
100.4;203;60;0.89;0.495;2
105.7;68;36;0.89;2.07;2
70.4;83;120;0.89;0.128;2
101.3;35.7;108.8;0.89;4.003;2
180.7;231.9;28.4;0.89;0.218;2
152.8;352.4;65.3;0.9;0.115;2
120.3;117.4;38.4;0.9;1.635;2
171.1;293.3;70.7;0.9;1.657;2
127.1;51.9;94.3;0.9;0.364;2
256.5;234.2;70.7;0.9;0.091;2
220.4;368;96;0.9;3.744;2
220.3;158.1;60.5;0.9;3.24;2
220.3;158.1;72.5;0.9;4.03;2
220.8;98.1;132.2;0.9;0.588;2
160;188;48;0.9;0.919;2
252.2;232.2;108;0.9;1.468;2
70.4;293;72;0.9;0.951;2
186.3;593;109.7;0.9;3.173;2
210.8;233;40.1;0.9;4.688;2
130.4;233;83;0.9;6.205;2
328.5;152.8;60.1;0.91;0.642;2
200.6;233.1;61.8;0.91;2.214;2
168.2;232.5;62.2;0.91;1.963;2
220.2;218.4;36.3;0.91;3.285;2
231.3;293.2;129.3;0.91;4.259;2
280.5;158;131.5;0.91;11.051;2
220.4;248;94.5;0.91;0.784;2
220.9;218.1;120;0.91;3.616;2
100.4;293;59.9;0.91;0.184;2
100.4;293;131.9;0.91;0.004;2
310.4;263;132;0.91;6.665;2
311.1;233.1;72;0.91;3.55;2
250.1;353;72;0.91;0.468;2
252.2;232.2;60;0.91;0.364;2
190.4;263;131.1;0.91;0.67;2
190.4;173;48;0.91;1.572;2
191;323.3;119.7;0.91;2.467;2
130.4;442.9;12.1;0.91;1.428;2
79.5;112.7;72;0.91;1.367;2
155.9;413.6;89.8;0.91;0.692;2
99.8;431.2;95.5;0.92;1.614;2
188.7;468.9;84.3;0.92;5.887;2
218.3;188.2;35;0.92;30.858;2
294.3;152.2;109.4;0.92;6.751;2
301.1;152.3;99.5;0.92;4.92;2
117;353.3;48.4;0.92;0.216;2
220.1;397.8;48;0.92;1.423;2
191.7;353.3;60.4;0.92;3.803;2
273.3;308.7;36;0.92;1.76;2
220;308;68;0.92;1.66;2
219.9;188.4;84.8;0.92;4.462;2
155.5;278.9;84;0.92;0.109;2
167;218;60;0.92;1.386;2
190.4;293;104;0.92;1.843;2
129.7;26.4;120;0.92;3.712;2
82.7;293;76.3;0.92;1.304;2
231.5;353.1;19.9;0.92;0.273;2
213.1;115.6;132.3;0.93;4.893;2
101.3;35.7;120.8;0.93;1.44;2
194;353.1;15.9;0.93;2.358;2
150.5;531.3;118;0.93;1.358;2
100;308;84;0.93;5.807;2
190.4;383;108;0.93;0.621;2
130.4;442.9;72.1;0.93;6.618;2
75.4;532.2;60;0.93;1.379;2
250.5;203.1;108.8;0.93;1.49;2
67.4;377.2;56.9;0.93;0.332;2
238.8;353.3;10.3;0.94;0.344;2
196.6;110.9;17.2;0.94;3.882;2
280.4;98;132.2;0.94;6.584;2
220.4;278;24;0.94;1.931;2
219.5;219.3;48.9;0.94;3.345;2
102.3;38;72;0.94;0.217;2
102.3;38.2;72;0.94;0.168;2
190.3;412.6;132;0.94;0.616;2
190.4;113;60;0.94;0.602;2
68.9;472.5;53.2;0.94;0.346;2
131.4;408;15.7;0.94;0.894;2
220.4;398;131.2;0.95;0.32;2
130.4;233;59;0.95;0.257;2
272.7;352.7;109.2;0.95;5.391;2
75;380.8;21.9;0.95;1.021;2
72.9;472.2;41.9;0.95;0.627;2
155;338;48;0.95;0.047;2
102.3;38;96;0.95;1.589;2
102.3;38.2;96;0.95;0.4;2
306.6;356.8;72;0.95;0.726;2
238.7;175.7;60;0.95;0.88;2
130.4;233;132;0.95;0.053;2
130.4;203;107.6;0.95;2.103;2
186.8;352.5;99.3;0.95;0.551;2
164.4;413.6;98.2;0.95;0.662;2
220.4;338;131.1;0.95;0.165;2
76.2;472.5;73.1;0.95;0.15;2
99.8;431.2;107.5;0.95;0.436;2
220.4;338;59.1;0.96;7.762;2
220;308;44;0.96;0.411;2
160;158;72;0.96;1.486;2
160;98;14;0.96;0.157;2
100.3;458;108.1;0.96;0.122;2
100.4;308;84.1;0.96;1.147;2
100.4;218;60;0.96;0.28;2
100;188;48;0.96;0.74;2
250.1;353;96;0.96;1.742;2
238.7;175.7;108;0.96;0.19;2
190.6;143.6;108;0.96;2.689;2
129.9;263;48;0.96;2.824;2
129.9;263.4;48;0.96;1.47;2
75.4;532.2;36;0.96;0.021;2
277.3;308.5;117.8;0.96;0.592;2
190.1;413.6;123.5;0.97;1.227;2
60.8;472.9;75.8;0.97;0.875;2
103.7;158.8;59.3;0.97;0.161;2
220.3;158.1;96.5;0.97;4.211;2
102.3;38;36;0.97;2.432;2
102.3;38.2;36;0.97;1.414;2
256.9;150.8;107.7;0.97;2.337;2
190.3;412.6;72;0.97;0.192;2
188.6;263.1;133;0.97;0.669;2
75.4;532.2;48;0.97;0.078;2
160.4;128;90.6;0.97;2.549;2
119.4;406.9;49.6;0.98;0.658;2
62.5;56.9;38.7;0.98;8.974;2
220.4;368;120;0.98;0.239;2
220.9;218.1;132;0.98;5.072;2
220.7;127.6;120.3;0.98;4.254;2
160.5;548;108;0.98;3.912;2
160;368;48;0.98;0.19;2
160.5;218;96;0.98;0.151;2
100.4;368;35.9;0.98;0.634;2
256;259.3;101.5;0.98;2.153;2
190.4;233;132;0.98;0.585;2
190.4;233;12;0.98;0.248;2
190.6;143.6;60;0.98;4.697;2
130.4;293.1;59.8;0.98;1.213;2
181.4;353.2;49.6;0.98;0.76;2
184.8;231.8;17.1;0.99;1.859;2
196.9;293.3;95.8;0.99;5.347;2
314.8;52.9;25.8;0.99;0.814;2
220.4;338;119.1;0.99;0.25;2
220;248;99;0.99;0.598;2
220.2;218.4;60.3;0.99;3.235;2
280.6;368.2;96.1;0.99;0.609;2
220.4;338;83.1;0.99;2.006;2
219.9;188.4;96.8;0.99;1.229;2
220.3;158.1;108.5;0.99;1.428;2
100.3;458;120.1;0.99;2.361;2
250.2;263.2;24;0.99;0.512;2
130.4;353;132;0.99;0.199;2
70.4;503;96;0.99;0.139;2
70.4;83;108;0.99;0.405;2
280.5;203;132;1;1.88;2
220;308;32;1;3.42;2
160.5;548;120;1;17.516;2
103.5;44.7;120;1;1.727;2
250.2;263.2;108;1;1.343;2
189.7;262.8;60;1;2.965;2
190.4;233;36;1;2.54;2
72.5;379.6;33.5;1;0.083;2
220.4;338;95.1;1;2.64;2
220;248;39;1;2.546;2
218.3;188.2;83;1;10.135;2
135.7;232.2;50.6;1.01;0.23;2
204;112.8;53.9;1.01;3.728;2
160;233;36;1.01;0.151;2
228;128;37.1;1.01;7.812;2
190.4;353;131.1;1.01;1.08;2
191.7;353.3;24.4;1.01;1.382;2
330.1;60.2;55.9;1.01;1.692;2
275.3;338.3;12;1.01;2.467;2
220.4;368;72;1.01;2.378;2
100.2;97.6;60.1;1.01;4.049;2
100.3;8.3;120.4;1.01;2.491;2
251.2;324.1;84;1.01;0.61;2
251.2;324.1;120;1.01;1.95;2
190.3;383.1;71.6;1.01;1.989;2
130.4;293.1;83.8;1.01;0.784;2
70.4;473;108.2;1.01;0.11;2
169.8;352.4;82.3;1.01;0.223;2
171.7;112.8;84.7;1.02;1.991;2
147.3;413.6;81.4;1.02;0.58;2
123.4;407.3;38.3;1.02;0.286;2
160.4;503;84.1;1.02;8.326;2
100.3;458;60.1;1.02;0.465;2
311.1;233.1;96;1.02;28.186;2
251.2;324.1;12;1.02;2.118;2
250.5;203.1;132.8;1.02;0.577;2
190.4;503;107.8;1.02;13.86;2
190.6;143.6;132;1.02;10.338;2
130.4;442.9;84.1;1.02;2.54;2
70.4;503;84;1.02;0.584;2
276.6;169;70.6;1.02;1.363;2
120;134.1;23.8;1.02;1.172;2
228;128;49.1;1.03;4.084;2
191.7;353.3;36.4;1.03;1.039;2
115.4;406.6;60.9;1.03;3.455;2
219.9;188.4;108.8;1.03;0.669;2
160.4;368;132;1.03;0.355;2
160.4;338;60;1.03;2.041;2
100.8;82.9;83.8;1.03;4.139;2
310.6;293.4;48;1.03;0.932;2
130.4;203;83.6;1.03;0.884;2
79.5;112.7;84;1.03;1.579;2
160.4;368;83;1.03;0.418;2
199;413;48;1.03;0.495;2
98.1;113.3;60.5;1.03;0.437;2
160.7;397.4;47.3;1.04;0.275;2
229.2;230.2;25.5;1.04;5.614;2
190.5;292.8;12.1;1.04;0.781;2
190.5;292.8;48.1;1.04;3.263;2
220.4;368;84;1.04;7.182;2
220;308;92;1.04;4.332;2
100.4;368;95.9;1.04;0.34;2
100;308;36;1.04;0.385;2
100.2;97.6;84.1;1.04;4.693;2
252.2;232.2;36;1.04;0.266;2
117;353.3;60.4;1.04;2.117;2
220.4;248;105;1.04;2.015;2
99.8;431.2;83.5;1.05;7.456;2
85.1;21.8;55.7;1.05;0.646;2
159;531.5;126.5;1.05;5.91;2
69.4;112.2;62.6;1.05;0.209;2
220.8;187.8;120;1.05;0.928;2
220.3;158.1;48.5;1.05;9.205;2
205.7;97.9;48.3;1.05;1.082;2
99.8;397;120.3;1.05;0.066;2
100.4;293;11.9;1.05;0.337;2
190.3;383.1;83.6;1.05;2.591;2
130.4;203;71.6;1.05;8.419;2
146.7;233.1;48.2;1.05;0.012;2
228;128;25.1;1.06;4.996;2
190.5;292.8;60.1;1.06;0.276;2
279.5;278.3;120;1.06;10.265;2
159.2;368;60.2;1.06;0.614;2
100.4;398;132;1.06;1.155;2
311.1;233.1;36;1.06;4.45;2
311.1;233.1;60;1.06;1.476;2
190.4;323;132;1.06;12.499;2
190.4;173;24;1.06;5.947;2
130.4;353;96;1.06;0.315;2
160.7;397.4;59.3;1.07;5.313;2
175.8;112.5;73.5;1.07;0.502;2
272.1;168.8;59.4;1.07;1.687;2
160.4;308;95.3;1.07;1.252;2
155.8;233;95.9;1.07;0.426;2
160.4;203;96;1.07;5.406;2
100.4;293;83.9;1.07;1.738;2
100.2;128.1;84.2;1.07;1.122;2
310.6;293.4;36;1.07;2.037;2
129.9;263;12;1.07;0.729;2
129.9;263.4;12;1.07;0.346;2
160.7;397.4;95.3;1.07;1.326;2
160.4;128;126.6;1.07;10.555;2
190.4;293;112;1.07;1.571;2
190.4;353;119.1;1.08;7.303;2
220.1;397.8;24;1.08;0.169;2
121.7;159.9;14.8;1.08;0.122;2
273.3;308.7;72;1.08;1.41;2
220.4;278;120;1.08;1.145;2
220.7;127.6;108.3;1.08;10.576;2
100.4;338;11.9;1.08;0.394;2
100;188;60;1.08;0.329;2
100.3;8.3;108.4;1.08;2.828;2
310.7;173.4;120;1.08;11.284;2
190.3;412.6;96;1.08;2.864;2
190.4;233;96;1.08;1.174;2
117;353.1;12.4;1.08;0.201;2
255.1;413.6;14.9;1.08;1.22;2
362;162.3;11.4;1.08;19.156;2
70;378.4;45.2;1.09;0.109;2
190.4;263;95.1;1.09;0.261;2
86.4;113.9;14;1.09;1.892;2
189.8;83.3;74;1.09;3.681;2
176.5;232.1;39.7;1.09;0.204;2
73.5;112;51.3;1.09;4.465;2
77.6;111.8;40;1.09;1.01;2
273.4;368.4;84;1.09;2.374;2
273.4;368.4;96;1.09;0.204;2
160.4;503;72.1;1.09;1.386;2
160.5;218;132;1.09;1.044;2
99.8;397;72.3;1.09;0.873;2
310.6;293.4;72;1.09;0.768;2
370.4;233;96;1.09;20.43;2
256;259.3;125.5;1.09;0.971;2
130.4;413;11.6;1.09;1.049;2
160.4;368;131;1.09;1.29;2
178.7;174.2;134.7;1.1;0.297;2
71.9;117.4;80.1;1.1;5.962;2
112.1;231.9;95.6;1.1;0.549;2
280.6;368.2;120.1;1.1;0.26;2
130.5;323;132;1.1;2.058;2
130.4;442.9;120.1;1.1;5.708;2
160.6;174.2;90.2;1.11;7.284;2
186.4;55.1;8.7;1.11;0.317;2
247.3;230.1;9.7;1.11;1.12;2
160;98;60;1.11;2.872;2
100;158;60;1.11;1.286;2
250.2;263.2;60;1.11;1.447;2
190.3;383.1;107.6;1.11;2.574;2
71.5;289.6;64.2;1.11;2.84;2
224.2;353;29.4;1.12;1.684;2
220.4;338;47.1;1.12;1.41;2
160.4;308;131.3;1.12;1.466;2
195.2;473.4;109.7;1.12;2.095;2
100;158;36;1.12;0.048;2
121.7;273;82.3;1.13;8.716;2
189.8;83.3;98;1.13;5.149;2
220.4;308;96;1.13;5.966;2
219.5;219.3;108.9;1.13;1.279;2
100.4;158;72.3;1.13;0.964;2
250.1;353;84;1.13;2.082;2
250.2;292.9;48;1.13;0.288;2
130.4;293.1;119.8;1.13;1.067;2
79.5;112.7;108;1.13;17.431;2
179.3;116.2;98.2;1.13;4.546;2
250.4;413;118.8;1.13;0.02;2
333.1;152.9;53.5;1.14;2.42;2
191.7;353.3;12.4;1.14;1.093;2
220.4;458;72;1.14;1.822;2
219.5;219.3;132.9;1.14;3.748;2
219.9;188.4;60.8;1.14;12.099;2
220.3;158.1;120.5;1.14;0.779;2
100;188;72;1.14;0.993;2
310.6;293.4;84;1.14;3.748;2
190.4;503;131.8;1.14;18.904;2
190.4;113;72;1.14;4.232;2
190.4;113;84;1.14;5.953;2
191;323.3;95.7;1.14;1.23;2
190.5;293.1;108.1;1.14;6.782;2
160.4;368;119;1.14;0.276;2
250.5;203.1;120.8;1.15;14.456;2
189.8;353.2;27.1;1.15;1.336;2
220.4;368;12;1.15;2.899;2
159.2;368;36.2;1.15;0.77;2
370.4;172.9;72.3;0.6;10.626;2
160.4;338;84;1.15;0.973;2
160.4;203;108;1.15;3.99;2
102.3;38;24;1.15;2.108;2
102.3;38.2;24;1.15;3.36;2
255.1;413.6;26.9;1.15;1.66;2
251.2;324.1;48;1.15;0.414;2
189.7;262.8;96;1.15;5.959;2
130.4;203;59.6;1.15;2.761;2
220.5;488;130.8;1.15;0.493;2
130.4;233;131;1.15;0.973;2
160.4;278;107.1;1.15;1.101;2
133.4;174.2;23.6;1.16;0.033;2
220;248;63;1.16;6.317;2
205;231;114.9;1.16;11.863;2
191.7;353.3;48.4;1.16;11.746;2
116.8;113.4;62.6;1.16;1.338;2
135.2;292.7;56.1;1.16;0.875;2
155;338;72;1.16;1.044;2
160.5;218;84;1.16;2.115;2
100.3;458;72.1;1.16;2.387;2
99.8;397;108.3;1.16;0.875;2
100.4;368;47.9;1.16;1.371;2
100.4;368;83.9;1.16;0.425;2
100.4;293;95.9;1.16;2.737;2
250.3;203.2;132;1.16;8.969;2
190.3;383.1;119.6;1.16;4.419;2
130;323;72;1.16;4.26;2
130.4;442.9;24.1;1.16;4.281;2
203;468;9;1.16;1.777;2
205.5;293.2;104.2;1.16;2.308;2
160.4;278;119.1;1.17;0.236;2
220;308;8;1.17;4.885;2
220.4;278;12;1.17;2.275;2
160.4;338;108;1.17;4.3;2
100.4;338;47.9;1.17;3.351;2
100.4;293;35.9;1.17;0.615;2
190.3;412.6;120;1.17;0.926;2
70.4;473;120.2;1.17;0.052;2
160.4;128;102.6;1.17;4.63;2
189.8;83.3;86;1.17;6.255;2
189.9;29.5;61.4;1.17;0.511;2
81;471.9;19.3;1.18;1.199;2
88.6;117;97.4;1.18;1.463;2
218.7;78.2;96;1.18;3.697;2
160.4;503;120.1;1.18;3.237;2
160;158;36;1.18;0.348;2
100.4;368;59.9;1.18;1;2
100.4;368;71.9;1.18;2.423;2
100.4;293;71.9;1.18;2.762;2
100.2;128.1;48.2;1.18;0.581;2
306.6;356.8;60;1.18;0.862;2
279.7;352.3;99.4;1.18;2.361;2
160.5;398;95;1.19;2.8;2
218.7;78.2;120;1.19;1.718;2
160.5;548;132;1.19;7.571;2
189.7;262.8;84;1.19;3.731;2
130;323;36;1.19;0.481;2
130.4;442.9;108.1;1.19;2.255;2
79.5;112.7;60;1.19;1.072;2
108.2;159.1;48.2;1.2;0.72;2
280.4;428;131;1.2;0.493;2
198.6;413.6;131.9;1.2;1.771;2
220;308;80;1.2;4.748;2
159.2;368;84.2;1.2;1.826;2
160.4;338;72;1.2;2.374;2
100.4;308;96.1;1.2;4.293;2
130.4;353;95.6;1.2;1.771;2
125.4;113.7;40.2;1.2;2.457;2
146;231.8;129.5;1.2;0.032;2
127.4;407.7;27;1.2;0.593;2
217;353;39;1.21;5.284;2
130.3;413.5;64.5;1.21;1.921;2
220;308;56;1.21;6.866;2
219.5;219.3;84.9;1.21;5.423;2
100.4;158;108.3;1.21;0.332;2
101.3;35.7;132.8;1.21;1.819;2
190.4;383;120;1.21;3.827;2
189.9;29.5;54.9;1.21;2.179;2
120;134.1;47.8;1.21;2.632;2
218.3;188.2;95;1.21;10.361;2
137.2;117.1;55.5;1.21;0.27;2
250.4;413;130.8;1.22;0.27;2
286.7;351.9;89.7;1.22;1.784;2
119.5;408.9;133.4;1.22;0.672;2
117;353.2;36.4;1.22;0.077;2
275.3;338.3;72;1.22;1.682;2
275.3;338.3;84;1.22;3.77;2
273.3;308.7;48;1.22;0.71;2
219.5;219.3;60.9;1.22;5.703;2
160.7;397.4;23.8;1.22;0.691;2
160.4;338;132;1.22;2.493;2
99.8;397;96.3;1.22;1.2;2
252.2;232.2;48;1.22;0.159;2
130.4;353;108;1.22;5.071;2
130.4;472.9;108.2;1.22;1.057;2
130.4;353;59.6;1.22;0.639;2
188.3;293.3;87.5;1.22;5.138;2
189.8;83.3;110;1.22;6.979;2
255.1;413.6;38.9;1.23;0.358;2
220.4;398;107.2;1.23;1.261;2
345.3;157.8;71.8;1.23;2.683;2
219.9;188.4;120.8;1.23;10.298;2
160;158;84;1.23;3.764;2
100.4;293;119.9;1.23;0.107;2
100.2;128.1;120.2;1.23;1.379;2
100.2;97.6;96.1;1.23;11.058;2
310.6;293.4;60;1.23;2.748;2
90.4;293.2;85.5;1.23;3.432;2
220;248;51;1.23;1.592;2
160.4;368;71;1.23;0.969;2
75;292.9;67.1;1.24;0.169;2
181.5;413.6;115.1;1.24;2.298;2
202.3;55.3;54;1.24;1.392;2
251.4;409;41.4;1.24;1.705;2
188.7;468.9;72.3;1.24;1.315;2
188.7;468.9;96.3;1.24;2.243;2
138.8;413.5;72.9;1.24;4.187;2
279.8;169.1;78.5;1.24;5.798;2
160;368;36;1.24;1.045;2
160;368;84;1.24;1.531;2
256.9;150.8;119.7;1.24;8.115;2
191.1;83.6;120;1.24;18.165;2
189.8;83.3;134;1.24;6.142;2
247.9;409.4;30;1.24;2.206;2
160.7;397.4;35.3;1.25;1.879;2
76.9;472;30.6;1.25;4.933;2
220.4;158;120;1.25;1.988;2
100.4;368;23.9;1.25;0.207;2
100.4;368;131.9;1.25;0.816;2
100.4;293;107.9;1.25;0.888;2
100;158;48;1.25;0.302;2
