Ident;CRUISE;SHIP;YEAR;MONTH;DAY;HOUR;LONGITUDE;LATITUDE;Period;DEPTH;Domain;DC;SST;SALINITY;OXYGEN;WM;WMCode;Clorofila;fosfatos;nitratos;nitritos;silicatos;TOTAL.BIOMASS;ANCHOVIES;SARDINE;JACK.MACKEREL;MACKEREL;SAMASA;FALSO.VOLADOR;BAGRE;CAMOTILLO;VINCIGUERRIA;POTA;MUNIDA;TotalBsinMunida
1976;c0001-02;BIC-SNP;2000;2;18;312;-80.48816666666667;-7.055833333333333;N;137.005736036;AP;31.8277084415;22.9;34.94;7.76;AM;5;5.089;1.59058611772;.195186286842;1.29103532842;9.09978488025;3727;3357;0;0;0;0;0;222;0;0;0;148;3579
1986;c0001-02;BIC-SNP;2000;2;18;302;-80.47616666666667;-7.0485;N;133.766933409;AP;31.1019623605;22.9;34.94;7.73;AM;5;5.246;1.61006204302;.198357956238;1.32098254679;9.22451398802;3488;2988;0;0;0;0;0;300;0;0;0;200;3288
1959;c0001-02;BIC-SNP;2000;2;18;341;-80.50633333333333;-7.064333333333333;N;141.75961549;AP;32.8009740687;22.9;34.94;7.73;AM;5;4.87;1.56577373389;.191483668035;1.25529369924;8.94306165394;3633;3270;0;0;0;0;0;218;0;0;0;145;3488
1998;c0001-02;BIC-SNP;2000;2;18;253;-80.46333333333334;-7.041;N;130.420645791;AP;30.3401299066;22.9;34.94;7.7;AM;5;5.413;1.63049217726;.201317941122;1.35142912329;9.36162257465;2842;2272;0;0;0;0;0;342;0;0;0;228;2614
2014;c0001-02;BIC-SNP;2000;2;18;247;-80.44116666666666;-7.033166666666666;N;125.127961945;AP;29.2831482757;22.8;34.94;7.65;AM;5;5.542;1.65733843698;.203269404281;1.3840313527;9.56286827689;4050;3240;0;0;0;0;0;486;0;0;0;324;3726
2024;c0001-02;BIC-SNP;2000;2;18;240;-80.43233333333333;-7.024;N;122.4881747;AP;28.5819860029;22.8;34.94;7.63;AM;5;5.636;1.67866499343;.206900220144;1.41964730976;9.70935594853;2504;1984;0;0;0;0;0;312;0;0;0;208;2296
1946;c0001-02;BIC-SNP;2000;2;18;412;-80.52;-7.07;N;145.357845397;AP;33.5204385107;22.9;34.94;7.59;AM;5;4.712;1.54851115955;.188877556108;1.2309483065;8.8376822494;920;840;0;0;0;0;0;60;0;0;0;20;900
2039;c0001-02;BIC-SNP;2000;2;18;234;-80.418;-7.016166666666667;N;118.611534333;AP;27.8266064221;22.8;34.94;7.59;AM;5;5.742;1.70123605319;.209011853183;1.45058456016;9.88247393932;2512;1992;0;0;0;0;0;312;0;0;0;208;2304
2050;c0001-02;BIC-SNP;2000;2;18;228;-80.40366666666667;-7.008166666666667;N;114.410941087;AP;27.0932996051;22.8;34.94;7.56;AM;5;5.853;1.72431949177;.210911652955;1.48182508068;10.065454507;1460;1160;0;0;0;0;0;180;0;0;0;120;1340
2063;c0001-02;BIC-SNP;2000;2;18;221;-80.38816666666666;-6.999666666666666;N;109.85763596;AP;26.3211569465;22.8;34.93;7.52;AM;5;5.976;1.74926168484;.212569422902;1.51468379645;10.270669196;3325;2615;0;0;0;0;0;426;0;0;0;284;3041
1949;c0001-02;BIC-Olaya;2000;2;18;1458;-80.51833333333333;-7.16;D;152.561136801;AP;37.9953966485;23;34.95;7.51;AM;5;4.144;1.40010926027;.135339302058;.881433409419;8.18363922661;303;303;0;0;0;0;0;0;0;0;0;0;303
1941;c0001-02;BIC-Olaya;2000;2;18;1504;-80.52833333333334;-7.146666666666667;D;153.734106882;AP;37.7178553313;23;34.95;7.51;AM;5;4.146;1.41727516675;.14212732271;.930404882287;8.26395268744;1136;852;0;0;0;0;0;0;0;0;0;284;852
1956;c0001-02;BIC-Olaya;2000;2;18;1453;-80.51;-7.173333333333334;D;151.780557756;AP;38.3149457452;23;34.95;7.49;AM;5;4.126;1.38190157926;.13517485388;.832300779504;8.09250012409;1486;1486;0;0;0;0;0;0;0;0;0;0;1486
1931;c0001-02;BIC-Olaya;2000;2;18;1510;-80.53833333333333;-7.131666666666667;D;154.77750695;AP;37.3347623452;23;34.95;7.48;AM;5;4.157;1.43691654087;.151098303732;.986278486843;8.34588208087;48;36;0;0;0;0;0;0;0;0;0;12;36
2075;c0001-02;BIC-SNP;2000;2;18;214;-80.3745;-6.990833333333334;N;105.668768976;AP;25.4607528743;22.7;34.93;7.47;AM;5;6.099;1.77387314583;.214311043741;1.5482779329;10.4760253185;2550;2000;0;0;0;0;0;330;0;0;0;220;2330
1966;c0001-02;BIC-Olaya;2000;2;18;1447;-80.49833333333333;-7.186666666666667;D;150.361910153;AP;38.4623595203;23;34.95;7.46;AM;5;4.134;1.36500327318;.135163644802;.78462160047;7.99465376561;940;940;0;0;0;0;0;0;0;0;0;0;940
1933;c0001-02;BIC-SNP;2000;2;18;437;-80.53416666666666;-7.079666666666666;N;149.616427803;AP;34.4753693285;23;34.94;7.45;AM;5;4.524;1.52453951185;.183603705056;1.19065485753;8.7084946095;643;631;0;0;0;0;0;12;0;0;0;0;643
1926;c0001-02;BIC-SNP;2000;2;18;443;-80.545;-7.091166666666667;N;153.101975741;AP;35.4350977606;23;34.94;7.36;AM;5;4.356;1.49967625461;.176717673667;1.14345978277;8.5899445084;315;315;0;0;0;0;0;0;0;0;0;0;315
1920;c0001-02;BIC-Olaya;2000;2;18;1516;-80.54833333333333;-7.118333333333333;D;155.950477032;AP;36.9974011369;23;34.94;7.36;AM;5;4.156;1.45355020264;.159385165744;1.03602761625;8.40669904593;812;610;0;0;0;0;0;0;0;0;0;202;610
1975;c0001-02;BIC-Olaya;2000;2;18;1441;-80.48833333333333;-7.201666666666666;D;149.507735303;AP;38.6531448468;22.9;34.95;7.34;AM;5;4.116;1.34424902376;.13492465128;.730374005049;7.8719589719;64;64;0;0;0;0;0;0;0;0;0;0;64
2088;c0001-02;BIC-SNP;2000;2;18;208;-80.3605;-6.9825;N;101.586912762;AP;24.6237480121;22.7;34.93;7.34;AM;5;6.223;1.79803061511;.215487804812;1.57971634507;10.6860030034;1740;1380;0;0;0;0;0;216;0;0;0;144;1596
1915;c0001-02;BIC-Olaya;2000;2;18;1521;-80.55666666666667;-7.105;D;156.755192082;AP;36.5626571136;23;34.94;7.26;AM;5;4.168;1.47081973515;.168000488372;1.08653096401;8.46347311295;2196;1647;0;0;0;0;0;0;0;0;0;549;1647
1983;c0001-02;BIC-Olaya;2000;2;18;1436;-80.48166666666667;-7.211666666666667;D;148.979637236;AP;38.7601501145;22.9;34.95;7.26;AM;5;4.103;1.3302515712;.134739471748;.694444594932;7.78425441374;479;479;0;0;0;0;0;0;0;0;0;0;479
6451;c0001-02;BIC-SNP;2000;1;29;1827;-76.05;-14.60433333333333;CN;94.1434283729;AP;6.06103518743;18.7;34.89;7.26;ACF;1;5.717;.992490418639;.2890207541;.537800993492;3.71710245158;253;0;0;0;0;0;0;0;0;0;0;253;0
1909;c0001-02;BIC-SNP;2000;2;18;449;-80.55966666666667;-7.097666666666667;N;156.847943078;AP;36.2575657784;23;34.94;7.22;AM;5;4.187;1.48108678227;.172832795069;1.11478363194;8.49689216365;388;388;0;0;0;0;0;0;0;0;0;0;388
2100;c0001-02;BIC-SNP;2000;2;18;202;-80.34483333333333;-6.975;N;97.3823860338;AP;23.8097781251;22.7;34.93;7.2;AM;5;6.35;1.82199602286;.215755798702;1.6078591535;10.9061411411;1127;901;0;0;0;0;0;138;0;0;0;88;1039
6459;c0001-02;BIC-SNP;2000;1;29;1857;-76.039;-14.59266666666666;CN;80.3962385867;AP;5.20505270697;18.5;34.88;7.19;ACF;1;5.904;1.03573036245;.303841354253;.589313332412;3.96748105514;128;0;0;0;0;0;0;0;0;0;0;128;0
1992;c0001-02;BIC-Olaya;2000;2;18;1430;-80.46833333333333;-7.228333333333333;D;149.19879155;AP;38.7938861101;22.8;34.95;7.14;AM;5;4.096;1.30756243116;.134495658961;.635871600378;7.62507482646;1677;1677;0;0;0;0;0;0;0;0;0;0;1677
1903;c0001-02;BIC-Olaya;2000;2;18;1527;-80.56833333333333;-7.096666666666667;D;158.685127237;AP;36.4267552546;23;34.94;7.13;AM;5;4.118;1.47701445423;.174274775508;1.12039043536;8.45726596252;625;469;0;0;0;0;0;0;0;0;0;156;469
6444;c0001-02;BIC-SNP;2000;1;29;1815;-76.06016666666666;-14.61233333333334;CN;105.40375349;AP;6.78106490318;18.9;34.9;7.12;ACF;1;5.545;.958209907144;.276658628758;.500689321232;3.51143174709;869;0;0;0;0;0;0;0;0;0;0;869;0
6460;c0001-02;BIC-SNP;2000;1;29;1918;-76.03816666666667;-14.57583333333333;CN;70.8003676574;AP;4.74489453424;18.3;34.87;7.12;ACF;1;5.925;1.07268162079;.312595506282;.657889264602;4.13087785614;107;0;0;0;0;0;0;0;0;0;0;107;0
1899;c0001-02;BIC-SNP;2000;2;18;458;-80.57233333333333;-7.090833333333333;N;159.115444266;AP;36.218792868;23;34.94;7.08;AM;5;4.119;1.48197229235;.179544762476;1.15028524403;8.44224497556;126;126;0;0;0;0;0;0;0;0;0;0;126
2110;c0001-02;BIC-SNP;2000;2;18;156;-80.33266666666667;-6.967166666666667;N;93.9315932455;AP;23.1151910925;22.7;34.93;7.08;AM;5;6.47;1.84445892727;.216488909456;1.63676616226;11.1108331993;799;680;0;0;0;0;0;102;0;0;0;17;782
2001;c0001-02;BIC-Olaya;2000;2;18;1424;-80.45833333333333;-7.243333333333333;D;150.273610882;AP;38.8797096967;22.7;34.95;7.04;AM;5;4.04;1.2859694931;.134122242752;.582849403145;7.47165828182;226;226;0;0;0;0;0;0;0;0;0;0;226
6318;c0001-02;BIC-SNP;2000;1;29;2357;-76.27166666666666;-14.45216666666667;N;211.434529367;AT;9.87282810814;20.1;34.91;7.04;ACF;1;2.997;.991860860338;.185150726348;1.18948366429;2.52840595809;455;180;0;0;0;0;0;0;25;0;0;250;205
6329;c0001-02;BIC-SNP;2000;1;29;2351;-76.257;-14.444;N;189.351256549;AT;8.80902853947;19.9;34.9;7.03;ACF;1;3.112;1.02680511331;.195914527104;1.25102537656;2.55857451554;416;154;0;0;0;0;0;0;32;0;0;230;186
6339;c0001-02;BIC-SNP;2000;1;29;2216;-76.244;-14.43633333333333;N;169.904228573;AP;7.8489647521;19.7;34.89;7.01;ACF;1;3.214;1.05998182404;.205922699806;1.30934760112;2.587755552;300;120;0;0;0;0;0;0;20;0;0;160;140
1891;c0001-02;BIC-Olaya;2000;2;18;1538;-80.58333333333333;-7.105;D;162.638818516;AP;37.2522225197;23;34.94;7;AM;5;3.937;1.44772949827;.174518533185;1.11420738526;8.23680075595;742;557;0;0;0;0;0;0;0;0;0;185;557
6348;c0001-02;BIC-SNP;2000;1;29;2209;-76.22983333333333;-14.42716666666667;N;150.959250217;AP;6.77193840357;19.5;34.88;6.99;ACF;1;3.326;1.10227958525;.221882472843;1.35088938491;2.84289037231;1044;365;0;0;0;0;0;0;75;0;0;604;440
6302;c0001-02;BIC-SNP;2000;1;30;4;-76.28916666666667;-14.45116666666667;N;233.529955728;AT;10.7477117079;20.3;34.92;6.98;ACF;1;2.87;.974323153491;.177150293247;1.16864441932;2.58353036651;293;115;0;0;0;0;0;0;16;0;0;162;131
6357;c0001-02;BIC-SNP;2000;1;29;2202;-76.21266666666666;-14.41833333333333;N;130.352889492;AP;5.5413019134;19.2;34.87;6.98;ACF;1;3.458;1.14820093632;.240565184646;1.38603328844;3.15372533497;2069;894;0;0;0;0;0;0;175;0;0;1000;1069
6438;c0001-02;BIC-SNP;2000;1;29;1809;-76.07483333333333;-14.621;CN;119.971590704;AP;7.7330648925;19.1;34.91;6.97;ACF;1;5.297;.914616477006;.260204579026;.457953119578;3.24134098554;405;0;0;0;0;0;0;0;0;0;0;405;0
2006;c0001-02;BIC-Olaya;2000;2;18;1419;-80.45;-7.255;D;151.333935098;AP;38.9532075905;22.7;34.95;6.96;AM;5;3.955;1.27863556497;.133825034627;.563390085605;7.41222674632;1008;1008;0;0;0;0;0;0;0;0;0;0;1008
6365;c0001-02;BIC-SNP;2000;1;29;2156;-76.198;-14.409;N;110.258530847;AP;4.45402734574;19;34.87;6.96;ACF;1;3.573;1.19126048225;.257380677874;1.42352383849;3.43531773678;2007;805;0;0;0;0;0;0;202;0;0;1000;1007
6470;c0001-02;BIC-SNP;2000;1;29;1931;-76.02033333333334;-14.58216666666666;CN;62.6032126516;AP;4.10550526838;18.2;34.87;6.96;ACF;1;6.216;1.08897876251;.324553512147;.636991583914;4.30956778079;45;0;0;0;0;0;0;0;0;0;0;45;0
2122;c0001-02;BIC-SNP;2000;2;18;149;-80.319;-6.959166666666667;N;90.2517074311;AP;22.3105369253;22.7;34.93;6.95;AM;5;6.601;1.86843099964;.216743602345;1.66603499766;11.3372991586;1085;920;0;0;0;0;0;142;0;0;0;23;1062
6373;c0001-02;BIC-SNP;2000;1;29;2150;-76.18283333333333;-14.39983333333333;N;88.0664840579;AP;3.49237678208;18.8;34.87;6.94;ACF;1;3.695;1.23434783277;.274546548276;1.45862147769;3.72329153926;682;180;0;0;0;0;0;0;12;0;0;490;192
6380;c0001-02;BIC-SNP;2000;1;29;2143;-76.169;-14.3915;N;70.3870283152;AP;2.65994332908;18.6;34.86;6.93;ACF;1;3.923;1.27330335521;.290196439869;1.48935156213;3.98650498803;352;0;0;0;0;0;0;0;6;0;0;346;6
1886;c0001-02;BIC-SNP;2000;2;18;504;-80.58583333333333;-7.082333333333334;N;161.321521925;AP;36.1241237276;23;34.94;6.92;AM;5;4.052;1.4802546901;.18962971512;1.2063640597;8.32540385004;345;345;0;0;0;0;0;0;0;0;0;0;345
2129;c0001-02;BIC-SNP;2000;2;17;1349;-80.30966666666667;-7.2425;D;129.174193261;AP;31.7806761715;22.6;34.95;6.89;AM;5;3.992;1.34735745543;.14125494821;.648564395805;7.23750352093;2018;1804;0;0;0;0;0;214;0;0;0;0;2018
2116;c0001-02;BIC-SNP;2000;2;17;1342;-80.325;-7.249666666666666;D;132.767736213;AP;32.8629446535;22.5;34.95;6.89;AM;5;3.932;1.32951276003;.139959495488;.619571154161;7.18452355695;1678;1500;0;0;0;0;0;178;0;0;0;0;1678
2104;c0001-02;BIC-SNP;2000;2;17;1335;-80.33866666666667;-7.256833333333334;D;136.128100575;AP;33.7773239018;22.5;34.95;6.89;AM;5;3.875;1.32247706653;.138773845762;.612369216849;7.27603387406;714;614;0;0;0;0;0;100;0;0;0;0;714
2155;c0001-02;BIC-SNP;2000;2;17;1403;-80.28083333333333;-7.2245;D;121.502613149;AP;29.608181997;22.6;34.96;6.88;AM;5;4.159;1.39299327459;.144170760157;.724612498005;7.47440348872;1046;998;0;0;0;0;0;48;0;0;0;0;1046
2142;c0001-02;BIC-SNP;2000;2;17;1346;-80.29183333333333;-7.232833333333334;D;124.72566152;AP;30.4641718109;22.6;34.96;6.88;AM;5;4.079;1.3727099278;.142916277992;.690543557609;7.35713410124;1120;1002;0;0;0;0;0;118;0;0;0;0;1120
2168;c0001-02;BIC-SNP;2000;2;17;1410;-80.2665;-7.216;D;117.779526203;AP;28.6410827411;22.6;34.96;6.87;AM;5;4.243;1.41520049623;.145640779414;.760288951468;7.5985689642;958;918;0;0;0;0;0;40;0;0;0;0;958
2090;c0001-02;BIC-SNP;2000;2;17;1328;-80.35416666666667;-7.264833333333334;D;139.913368354;AP;34.8223663012;22.5;34.95;6.87;AM;5;3.825;1.31451966572;.137475427417;.603722847301;7.36108575372;240;240;0;0;0;0;0;0;0;0;0;0;240
1875;c0001-02;BIC-Olaya;2000;2;18;1555;-80.59833333333333;-7.11;D;166.331503259;AP;37.8908810469;23;34.94;6.86;AM;5;3.777;1.42427607886;.177276479371;1.12184600914;8.03853322944;417;313;0;0;0;0;0;0;0;0;0;104;313
2015;c0001-02;BIC-Olaya;2000;2;18;1413;-80.44;-7.27;D;152.966188967;AP;39.1161377003;22.6;34.95;6.86;AM;5;3.887;1.27920725381;.133367604238;.561846479845;7.42582955264;2291;2291;0;0;0;0;0;0;0;0;0;0;2291
2178;c0001-02;BIC-SNP;2000;2;17;1416;-80.25216666666667;-7.207;D;113.955395077;AP;27.7363182819;22.6;34.96;6.85;AM;5;4.337;1.43860204038;.147193644314;.797376096817;7.73976465475;135;129;0;0;0;0;0;6;0;0;0;0;135
2079;c0001-02;BIC-SNP;2000;2;17;1322;-80.37;-7.273333333333333;D;143.846316031;AP;35.940521741;22.5;34.95;6.85;AM;5;3.835;1.30631020763;.136165244872;.594262555905;7.43118050652;2;2;0;0;0;0;0;0;0;0;0;0;2
2855;c0001-02;BIC-SNP;2000;2;12;1331;-79.60466666666667;-8.776166666666667;D;146.429039296;AP;44.8160472396;21.3;34.88;6.85;ACF;1;1.787;1.34608917209;.451104276624;.533463029452;6.33446970298;837;335;0;0;0;0;0;0;0;0;0;502;335
2909;c0001-02;BIC-SNP;2000;2;12;1304;-79.53416666666666;-8.791833333333333;D;134.094057895;AP;41.5998619372;21.2;34.86;6.85;ACF;1;1.57;1.44834105024;.505555841927;.442188696849;7.54447494346;1372;482;0;0;0;0;0;0;0;0;0;890;482
2896;c0001-02;BIC-SNP;2000;2;12;1311;-79.55133333333333;-8.788833333333333;D;137.091337277;AP;42.3986529427;21.2;34.87;6.85;ACF;1;1.621;1.42397682847;.491982101203;.464950208346;7.26137548381;2154;654;0;0;0;0;0;0;0;0;0;1500;654
2881;c0001-02;BIC-SNP;2000;2;12;1317;-79.568;-8.785666666666666;D;140.003273389;AP;43.1722980063;21.2;34.87;6.85;ACF;1;1.671;1.40010556935;.478665075183;.486865161561;6.98120417662;915;125;0;0;0;0;0;0;0;0;0;790;125
2870;c0001-02;BIC-SNP;2000;2;12;1323;-79.58483333333334;-8.782166666666667;D;142.94665167;AP;43.9519580374;21.2;34.88;6.85;ACF;1;1.723;1.37574442136;.465079106605;.508783242698;6.69212660523;1150;375;0;0;0;0;0;0;0;0;0;775;375
2922;c0001-02;BIC-SNP;2000;2;12;1258;-79.51683333333334;-8.7955;D;131.062769703;AP;40.81587627;21.1;34.86;6.85;ACF;1;1.517;1.47299520525;.517295486075;.419506845518;7.82685215057;1703;725;0;0;0;0;0;0;0;0;0;978;725
2841;c0001-02;BIC-SNP;2000;2;12;1336;-79.61816666666667;-8.773166666666667;D;148.791057011;AP;45.4327081382;21.3;34.89;6.84;ACF;1;1.829;1.32618757687;.43916063578;.550836135838;6.09174380255;626;226;0;0;0;0;0;0;0;0;0;400;226
6283;c0001-02;BIC-SNP;2000;1;30;9;-76.30166666666666;-14.46916666666667;N;259.917922815;AT;11.9448347527;20.6;34.94;6.84;ACF;1;2.76;.924264299653;.164006295551;1.06830430848;2.45983651513;324;132;0;0;0;0;0;0;12;0;0;180;144
2826;c0001-02;BIC-SNP;2000;2;12;1342;-79.63466666666666;-8.770333333333333;D;151.671550952;AP;46.2085301023;21.3;34.89;6.83;ACF;1;1.879;1.30209237306;.422744347729;.572514884647;5.79600072717;1090;888;0;0;0;0;0;0;0;0;0;202;888
6390;c0001-02;BIC-SNP;2000;1;29;2136;-76.153;-14.38266666666667;N;54.0395083241;AP;1.96270505924;18.4;34.86;6.83;ACF;1;4.184;1.31621804669;.307921914805;1.51981935392;4.28489764217;340;0;0;0;0;0;0;0;0;0;0;340;0
6434;c0001-02;BIC-SNP;2000;1;29;2055;-76.07733333333333;-14.43133333333333;N;30.0972733705;AP;1.30294940937;17.7;34.83;6.83;ACF;1;5.361;1.3195789603;.348664050583;1.26182744557;4.90137190149;980;0;0;0;0;0;0;0;0;0;0;980;0
2192;c0001-02;BIC-SNP;2000;2;17;1423;-80.23666666666666;-7.198833333333333;D;110.136445905;AP;26.8151075994;22.6;34.96;6.82;AM;5;4.427;1.46116397216;.148773081871;.831608782885;7.87560114459;134;128;0;0;0;0;0;6;0;0;0;0;134
2137;c0001-02;BIC-SNP;2000;2;18;142;-80.30333333333333;-6.950666666666667;N;86.0101317782;AP;21.3866562633;22.6;34.93;6.82;AM;5;6.749;1.89491889313;.216471362962;1.69680363672;11.5964004058;3405;3200;0;0;0;0;0;185;0;0;0;20;3385
6426;c0001-02;BIC-SNP;2000;1;29;1802;-76.09083333333334;-14.62983333333334;CN;135.336037292;AP;8.76489107761;19.3;34.92;6.82;ACF;1;5.027;.868073222681;.242558465342;.412629017833;2.95316175116;17;0;0;0;0;0;0;0;0;0;0;17;0
6423;c0001-02;BIC-SNP;2000;1;29;2108;-76.10083333333333;-14.40533333333333;N;30.6199780115;AP;.731143723165;17.8;34.84;6.82;ACF;1;5;1.34140329916;.341221560435;1.38562022989;4.80880820127;1254;0;0;0;0;0;0;0;0;0;0;1254;0
6430;c0001-02;BIC-SNP;2000;1;29;2101;-76.08733333333333;-14.418;N;20;AP;.90606195057;17.7;34.83;6.82;ACF;1;5.208;1.33361553986;.346583848565;1.32353517884;4.88265299434;760;0;0;0;0;0;0;0;0;0;0;760;0
6441;c0001-02;BIC-SNP;2000;1;29;2049;-76.066;-14.4435;N;29.5888300527;AP;1.58489014448;17.6;34.83;6.82;ACF;1;5.537;1.31035973096;.352420121562;1.20576408553;4.94792105405;750;0;0;0;0;0;0;0;0;0;0;750;0
2065;c0001-02;BIC-SNP;2000;2;17;1316;-80.38533333333334;-7.2815;D;147.641947345;AP;37.058195645;22.5;34.95;6.81;AM;5;3.846;1.29836743986;.134940736494;.584571859459;7.47954478768;98;98;0;0;0;0;0;0;0;0;0;0;98
6480;c0001-02;BIC-SNP;2000;1;29;1937;-76.006;-14.58066666666667;CN;52.6724947487;AP;3.42843261079;18;34.86;6.81;ACF;1;6.452;1.11594110046;.33731902738;.646709466496;4.5130094417;210;0;0;0;0;0;0;0;0;0;0;210;0
2205;c0001-02;BIC-SNP;2000;2;17;1429;-80.22183333333334;-7.190166666666666;D;106.309723988;AP;25.9153503363;22.5;34.95;6.8;AM;5;4.526;1.48464179274;.150402063265;.866985664422;8.02920274304;180;173;0;0;0;0;0;7;0;0;0;0;180
2803;c0001-02;BIC-SNP;2000;2;12;1348;-79.6525;-8.767666666666667;D;154.781765816;AP;47.0913308595;21.4;34.9;6.8;ACF;1;1.932;1.27610028418;.403862130119;.59613759041;5.47479088018;502;402;0;0;0;0;0;0;0;0;0;100;402
6455;c0001-02;BIC-SNP;2000;1;29;2036;-76.04416666666667;-14.46933333333333;N;26.9455553334;AP;1.99848599852;17.6;34.84;6.8;ACF;1;5.876;1.28842797227;.358490979512;1.09167220535;5.01342220949;702;0;0;0;0;0;0;0;0;0;0;702;0
6450;c0001-02;BIC-SNP;2000;1;29;2043;-76.05433333333333;-14.456;N;28.1406821548;AP;1.82126697377;17.6;34.83;6.8;ACF;1;5.718;1.30125628794;.356291061422;1.14952354767;4.99511777454;1602;0;0;0;0;0;0;0;0;0;0;1602;0
2921;c0001-02;BIC-Olaya;2000;2;12;1632;-79.51833333333333;-8.813333333333333;D;131.185334245;AP;41.438409189;21.1;34.86;6.79;ACF;1;1.487;1.47621790922;.478412875824;.431281625065;7.83515365038;2733;431;0;0;0;0;0;0;0;0;0;2302;431
6415;c0001-02;BIC-SNP;2000;1;29;2115;-76.11166666666666;-14.39316666666666;N;20;AP;.715998621306;17.9;34.84;6.79;ACF;1;4.835;1.35233974501;.337866358751;1.4454426382;4.76638493854;2002;0;0;0;0;0;0;0;0;0;0;2002;0
6462;c0001-02;BIC-SNP;2000;1;29;2030;-76.03366666666666;-14.48283333333333;N;25.5934854051;AP;2.02747187389;17.5;34.84;6.79;ACF;1;6.039;1.27607963524;.36088524283;1.03436983974;5.03384883506;350;0;0;0;0;0;0;0;0;0;0;350;0
2026;c0001-02;BIC-Olaya;2000;2;18;1407;-80.43;-7.283333333333333;D;154.2616289;AP;39.225282843;22.5;34.95;6.78;AM;5;3.88;1.28016499363;.132967846042;.561571104063;7.45752131982;693;693;0;0;0;0;0;0;0;0;0;0;693
2941;c0001-02;BIC-SNP;2000;2;12;1252;-79.4995;-8.799;D;128.03276483;AP;40.0152339466;21.1;34.85;6.78;ACF;1;1.465;1.49744209838;.528636947518;.396683282154;8.10350807457;2830;710;0;0;0;0;0;0;0;0;0;2120;710
2934;c0001-02;BIC-Olaya;2000;2;12;1626;-79.50333333333333;-8.806666666666667;D;128.637869312;AP;40.4708746215;21.1;34.85;6.78;ACF;1;1.46;1.4943752639;.507806147052;.406244348387;8.05236568979;1360;33;0;0;0;0;0;0;0;0;0;1327;33
2224;c0001-02;BIC-SNP;2000;2;17;1436;-80.20633333333333;-7.180833333333333;D;102.255005062;AP;24.9648903065;22.5;34.95;6.76;AM;5;4.637;1.50998424063;.152173807769;.904519076825;8.20454795757;14;12;0;0;0;0;0;2;0;0;0;0;14
2788;c0001-02;BIC-SNP;2000;2;12;1354;-79.66883333333334;-8.7635;D;157.58907153;AP;47.8686234655;21.4;34.9;6.76;ACF;1;1.985;1.25134874665;.388104133437;.616698572097;5.16250824652;1411;906;0;0;0;0;0;0;0;0;0;505;906
2913;c0001-02;BIC-Olaya;2000;2;12;1638;-79.53166666666667;-8.821666666666667;D;133.431210676;AP;42.336098018;21.1;34.87;6.76;ACF;1;1.505;1.46104272972;.448462837996;.454921407414;7.65513756212;2425;485;0;0;0;0;0;0;0;0;0;1940;485
6408;c0001-02;BIC-SNP;2000;1;29;2121;-76.12283333333333;-14.381;N;31.8516004834;AP;.870168739468;18.1;34.85;6.76;ACF;1;4.665;1.36310574874;.334222600192;1.50674834204;4.71846849857;1504;0;0;0;0;0;0;0;0;0;0;1504;0
6469;c0001-02;BIC-SNP;2000;1;29;2024;-76.0235;-14.49616666666667;N;24.3983585838;AP;2.00977600084;17.5;34.84;6.76;ACF;1;6.198;1.26388847975;.363071225423;.979127202164;5.050359837;350;0;0;0;0;0;0;0;0;0;0;350;0
1872;c0001-02;BIC-SNP;2000;2;18;510;-80.60016666666667;-7.072666666666667;N;163.193325939;AP;36.0043856215;23;34.94;6.75;AM;5;3.983;1.47860372768;.200196986494;1.2672338878;8.19854599821;198;198;0;0;0;0;0;0;0;0;0;0;198
2053;c0001-02;BIC-SNP;2000;2;17;1309;-80.4005;-7.289833333333333;D;151.447942192;AP;38.1219792358;22.4;34.95;6.75;AM;5;3.857;1.29044644013;.133750612642;.574380598082;7.51022718405;2;2;0;0;0;0;0;0;0;0;0;0;2
6404;c0001-02;BIC-SNP;2000;1;29;2127;-76.1325;-14.374;N;35.6481780344;AP;1.09518973915;18.2;34.86;6.75;ACF;1;4.517;1.36483253892;.329381129113;1.54494333392;4.64538167344;825;0;0;0;0;0;0;0;0;0;0;825;0
2899;c0001-02;BIC-Olaya;2000;2;12;1643;-79.54833333333333;-8.831666666666667;D;136.252757606;AP;43.4584704176;21.1;34.87;6.73;ACF;1;1.529;1.44233362111;.413700902759;.484370889662;7.44249330666;1935;387;0;0;0;0;0;0;0;0;0;1548;387
2238;c0001-02;BIC-SNP;2000;2;17;1442;-80.19183333333334;-7.172333333333333;D;98.508600257;AP;24.0453398355;22.4;34.95;6.72;AM;5;4.742;1.55462599235;.155152771445;.977041852283;8.65891824503;24;14;0;0;0;0;0;10;0;0;0;0;24
2775;c0001-02;BIC-SNP;2000;2;12;1401;-79.68583333333333;-8.758333333333333;D;160.237834399;AP;48.6793075775;21.4;34.91;6.72;ACF;1;2.041;1.2249806027;.37172900865;.637532119416;4.82358875788;1456;1000;0;0;0;0;0;0;0;0;0;456;1000
2955;c0001-02;BIC-SNP;2000;2;12;1245;-79.48433333333334;-8.795166666666667;D;125.434607928;AP;39.083514337;21.1;34.85;6.72;ACF;1;1.432;1.51674169274;.557493283512;.378055399711;8.34139395436;4000;1000;0;0;0;0;0;0;0;0;0;3000;1000
