Ident;CRUISE;SHIP;YEAR;MONTH;DAY;HOUR;LONGITUDE;LATITUDE;Period;DEPTH;Domain;DC;SST;SALINITY;OXYGEN;WM;WMCode;Clorofila;fosfatos;nitratos;nitritos;silicatos;TOTAL.BIOMASS;ANCHOVIES;SARDINE;JACK.MACKEREL;MACKEREL;SAMASA;FALSO.VOLADOR;BAGRE;CAMOTILLO;VINCIGUERRIA;POTA;MUNIDA;TotalBsinMunida
159;c0001-02;BIC-Olaya;2000;2;24;1005;-82.33833333333334;-4.751666666666667;D;4157.41382901;A0;60.3688950098;25.7;34.11;5.34;AES;2;.025;.521834886509;.810274371225;7.64222551326;1.75344479768;0;0;0;0;0;0;0;0;0;0;0;0;0
149;c0001-02;BIC-Olaya;2000;2;24;959;-82.35666666666667;-4.75;D;4131.684417;A0;61.5006657439;25.7;34.12;5.34;AES;2;.015;.521844722066;.829716642029;7.82406831786;1.80805258493;0;0;0;0;0;0;0;0;0;0;0;0;0
140;c0001-02;BIC-Olaya;2000;2;24;953;-82.37333333333333;-4.75;D;4114.5816591;A0;62.5714959376;25.7;34.13;5.34;AES;2;.006;.521630894506;.848861323729;7.96668296187;1.87568578702;0;0;0;0;0;0;0;0;0;0;0;0;0
726;c0001-02;BIC-Olaya;2000;2;24;1511;-81.57166666666667;-4.735;D;2469.03159748;A0;15.264209283;25.2;34.06;5.34;AES;2;.854;.479789258198;.719926887093;3.55784941261;.620049210641;0;0;0;0;0;0;0;0;0;0;0;0;0
1103;c0001-02;BIC-Olaya;2000;2;24;1930;-81.31666666666666;-4.513333333333334;CN;106.557986237;AP;1.88083345225;24.4;33.72;5.34;AES;2;2.347;.705444868067;1.23102523413;2.01223320451;.832286418881;0;0;0;0;0;0;0;0;0;0;0;0;0
1013;c0001-02;BIC-Olaya;2000;2;22;1231;-81.375;-5.243333333333333;D;452.645053276;AT;11.4307037029;24.3;33.83;5.34;AES;2;.8;.566263863076;.909216319414;2.72692979337;1.34415487883;0;0;0;0;0;0;0;0;0;0;0;0;0
1046;c0001-02;BIC-SNP;2000;2;22;1110;-81.35466666666667;-5.278333333333333;D;400.850117203;AT;10.6522671022;24.2;33.85;5.34;AES;2;.788;.579235294453;.838831445381;2.4916986899;1.40402331963;0;0;0;0;0;0;0;0;0;0;0;0;0
1044;c0001-02;BIC-SNP;2000;2;22;1117;-81.355;-5.277833333333334;D;401.446815053;AT;10.6645947368;24.2;33.85;5.34;AES;2;.788;.579068778325;.839849788362;2.49509375493;1.40313889989;0;0;0;0;0;0;0;0;0;0;0;0;0
559;c0001-02;BIC-Olaya;2000;2;21;146;-81.74333333333334;-6.24;N;5193.67800344;A0;38.2930168799;24.2;34.93;5.34;AM;5;1.538;.794707020105;1.14172801046;4.4196906505;1.92201712876;131;0;18;0;0;0;0;0;0;32;81;0;131
4443;c0001-02;BIC-Olaya;2000;2;2;310;-78.095;-13.17333333333334;N;4855.68708206;A0;84.9560263814;24.1;35.16;5.34;ASS;3;.368;1.50123584673;.0476952195797;.464646331661;2.49870436866;95;0;0;0;0;0;0;0;0;79;16;0;95
4410;c0001-02;BIC-Olaya;2000;2;2;339;-78.13666666666667;-13.15833333333333;N;5285.37401661;A0;85.9839967627;24.1;35.15;5.34;ASS;3;.307;1.45928765095;.0457827846552;.603182384701;2.45456518435;0;0;0;0;0;0;0;0;0;0;0;0;0
731;c0001-02;BIC-SNP;2000;2;21;940;-81.566;-5.791166666666666;D;2554.12197157;A0;25.8656809493;23.9;34.45;5.34;AES;2;.962;.498148808811;.0872889222804;2.40407638606;1.32429516377;262;0;0;0;0;0;0;0;0;262;0;0;262
7672;c0001-02;BIC-Olaya;2000;1;24;1620;-73.61;-16.83;D;2695.67287862;A0;31.5823762668;23.8;35;5.34;AM;5;.375;.654036865489;.0772803560894;.807858034422;6.08645319979;8;0;0;0;0;0;0;0;0;0;0;8;0
7558;c0001-02;BIC-Olaya;2000;1;24;1857;-73.86333333333333;-16.87833333333334;CN;3662.54013432;A0;38.4188806654;23.8;34.95;5.34;AM;5;.244;.675056720367;.0633631932215;.396448195471;5.04588650605;221;0;0;0;79;0;0;0;0;53;0;89;132
8444;c0001-02;BIC-SNP;2000;1;22;2046;-71.984;-17.7495;N;1126.31359048;A0;34.1825300568;23.7;34.97;5.34;AM;5;.515;.666740170613;.166066909261;.610290114352;3.4724627732;616;0;0;545;0;0;0;0;0;71;0;0;616
7708;c0001-02;BIC-SNP;2000;1;25;53;-73.52333333333333;-16.81866666666666;N;2436.42939704;A0;28.2047440874;23.7;35.01;5.34;ASS;3;.443;.616708264428;.0829955342946;.98780542319;6.01128212106;31;0;0;0;0;0;0;0;0;0;31;0;31
5075;c0001-02;BIC-Olaya;2000;2;1;616;-77.48833333333333;-13.40166666666667;CD;2948.12381347;A0;63.807793798;23.7;35.31;5.34;ASS;3;.456;1.09223581042;.0585779753054;1.05950535701;2.52787267614;12;0;0;0;0;0;0;0;0;12;0;0;12
5062;c0001-02;BIC-Olaya;2000;2;1;622;-77.50166666666667;-13.41166666666667;CD;3071.51258626;A0;64.7116273376;23.7;35.32;5.34;ASS;3;.448;1.10377971579;.0570261081814;1.07271791746;2.60476901707;10;0;0;0;0;0;0;0;0;10;0;0;10
5100;c0001-02;BIC-Olaya;2000;2;1;604;-77.46;-13.38166666666666;CD;2699.74892909;A0;61.9076645583;23.6;35.29;5.34;ASS;3;.468;1.06454852329;.0619272915988;1.02075683361;2.33531278197;16;13;0;0;0;0;0;0;0;1;2;0;16
5090;c0001-02;BIC-Olaya;2000;2;1;610;-77.47333333333333;-13.39166666666667;CD;2816.11294386;A0;62.8259080309;23.6;35.3;5.34;ASS;3;.463;1.07785348242;.0603034428502;1.04108094611;2.42849503474;28;0;0;0;0;0;0;0;0;28;0;0;28
1511;c0001-02;BIC-Olaya;2000;2;14;239;-80.99333333333334;-9.021666666666667;N;5310.86352478;A0;119.173953955;23.6;35.14;5.34;ASS;3;.972;.845594412677;.0943794407876;.282457264004;1.59636740603;506;0;52;0;154;0;0;0;0;0;300;0;506
